#,Поисковый запрос,"Локализация, %",Геозависимость,"Коммерциализация, %",Коммерция код,%коомерции 
104,детская поликлиника 9,71%,да,0%,-1,
105,поликлиника детская 1 рязань,90%,нет,0%,-1,
106,медпрестиж серпухов,70%,нет,38%,0,
107,юсуповская больница,60%,да,33%,-1,
108,москва гастроэнтеролог,100%,нет,61%,0,
109,муром здоровая семья,80%,нет,28%,-1,
110,отзывы о врачах,70%,да,36%,0,
111,клиника днк челябинск,90%,нет,0%,-1,
112,19 поликлиника детская,88%,да,0%,-1,
113,продокторов белгород,80%,нет,43%,0,
114,брянск семейная клиника бежицкий район,90%,нет,55%,0,
115,железнодорожный медицинский центр ангара,70%,нет,48%,0,
116,александров парацельс,90%,нет,50%,0,
117,мытищи поликлиника 2,50%,нет,38%,0,
118,кдц арбатский,70%,да,53%,0,
119,педиатр врач,80%,да,50%,0,
120,тула клиника эксперт,90%,нет,43%,0,
121,15 больница,67%,да,32%,-1,
122,адлер даниэль,0%,нет,24%,-1,
123,новосибирск про докторов,80%,нет,50%,0,
124,вдовин александр пластический хирург,0%,нет,0%,-1,
125,москва больница 13,88%,нет,49%,0,
126,больница 40,63%,да,29%,-1,
127,мой доктор армавир,80%,нет,0%,-1,
128,стоматология ижевск,90%,нет,66%,1,
129,ногинск студия доктор,70%,нет,36%,0,
130,инфекционист врач,80%,да,60%,0,
131,хирург пластический москва,80%,нет,47%,0,
132,тула вирмед,70%,нет,44%,0,
133,бубновский центр отрицательные отзывы,50%,да,21%,-1,
134,77 поликлиника,88%,да,0%,-1,
135,димитровград лекон,80%,нет,44%,0,
136,продокторов тюмень,80%,нет,58%,0,
137,3 поликлиника орел,0%,нет,1%,-1,
138,нижний новгород больница 13,80%,нет,35%,0,
139,25 поликлиника,88%,да,46%,0,
140,афродита петрозаводск,100%,нет,49%,0,
141,стоматология белгород,100%,нет,66%,1,
142,детская поликлиника 2 орел,0%,нет,0%,-1,
143,новая медицина покров,70%,нет,0%,-1,
144,тверь клиника луч,50%,нет,35%,0,
145,марии поповой клиника ставрополь,80%,нет,0%,-1,
146,стоматология тула,90%,нет,59%,0,
147,сибирское здоровье ноябрьск,70%,нет,44%,0,
148,казань продокторов,80%,нет,42%,0,
149,мытищи андреевские больницы,90%,нет,79%,1,
150,волгоград мрт,100%,нет,58%,0,
151,стоматология киров,100%,нет,66%,1,
152,эксперт тула,90%,нет,43%,0,
153,спб дерматолог,100%,нет,68%,1,
154,100 поликлиника,88%,да,53%,0,
155,семья и здоровье,20%,да,16%,-1,
156,л мед новомосковск,80%,нет,51%,0,
157,тверь стоматология,100%,нет,70%,1,
158,поликлиника подольск 1,90%,нет,63%,0,
159,бойко клиника волгоград,70%,нет,67%,1,
160,уссурийск джордж,60%,нет,44%,0,
161,хирург врач,70%,да,43%,0,
162,спб гинеколог,90%,нет,50%,0,
163,уфа стоматология,90%,нет,71%,1,
164,смоленск центр надежда медицинский,90%,нет,56%,0,
165,роддом 3,60%,да,28%,-1,
166,ргс мед сыктывкар,80%,нет,49%,0,
167,нижний новгород продокторов,60%,нет,28%,-1,
168,самара про докторов,80%,нет,43%,0,
169,преамбула бутово,40%,да,46%,0,
170,краснодар клиника фомина,70%,нет,37%,0,
171,шахты кардио плюс,0%,нет,0%,-1,
172,классика клиника оренбург,90%,нет,41%,0,
173,лайт пермь клиника,80%,нет,33%,-1,
174,больница 62 онкологическая,50%,да,28%,-1,
175,гастроэнтеролог спб,90%,нет,60%,0,
176,нягань детская поликлиника,90%,нет,42%,0,
177,мрт в екатеринбурге,100%,нет,65%,0,
178,стоматология курск,100%,нет,67%,1,
179,31 гкб,60%,да,0%,-1,
180,эндокринолог детский,80%,да,76%,1,
181,хирург детский,90%,да,65%,0,
182,про докторов ростов на дону,80%,нет,43%,0,
183,трихолог спб,100%,нет,67%,1,
184,96 поликлиника,80%,да,53%,0,
185,краснодар мрт,100%,нет,67%,1,
186,вся медицина челябинск новороссийская,70%,нет,43%,0,
187,17 поликлиника хабаровск,88%,нет,28%,-1,
188,волгоград диалайн красноармейский,100%,нет,56%,0,
189,краснодар гинеколог,100%,нет,77%,1,
190,сайт про докторов москва официальный,30%,нет,7%,-1,
191,40 поликлиника,75%,да,0%,-1,
192,стоматология оренбург,90%,нет,70%,1,
193,центр эко,40%,да,33%,-1,
194,стоматология ростов на дону,100%,нет,66%,1,
195,телефон регистратуры онкологической поликлиники,60%,да,49%,0,
196,мрт уфа,90%,нет,69%,1,
197,стоматология саратов,90%,нет,71%,1,
198,мрт казань,100%,нет,80%,1,
199,клиника фомина на мичуринском,90%,да,68%,1,
200,евромедика,50%,да,33%,-1,
201,продокторов самара,80%,нет,43%,0,
202,открытая клиника на ул 1905,80%,да,56%,0,
203,поликлиника 11 рязань,100%,нет,56%,0,
204,суворова медиклиник пенза,80%,нет,49%,0,
205,тюмень про докторов,100%,нет,63%,0,
206,15 поликлиника самара,60%,нет,0%,-1,
207,красноярск продокторов,80%,нет,49%,0,
208,евромед детский омск,80%,нет,29%,-1,
209,мята клиника севастополь,0%,нет,26%,-1,
210,поликлиника 48,75%,да,0%,-1,
211,краснодар уро про,60%,нет,65%,0,
212,стоматология пенза,100%,нет,73%,1,
213,семья медицинский центр таганрог,80%,нет,44%,0,
214,нефролог врач,70%,да,43%,0,
215,про докторов белгород,90%,нет,50%,0,
216,поликлиника 6 ставрополь,89%,нет,62%,0,
217,саранск медиз,90%,нет,0%,-1,
218,гинеколог екатеринбург,90%,нет,54%,0,
219,казань дерматолог,100%,нет,58%,0,
220,2 поликлиника рязань,70%,нет,43%,0,
221,ростов на дону дворец здоровья,90%,нет,77%,1,
222,казань гинеколог,100%,нет,78%,1,
223,30 поликлиника,63%,да,0%,-1,
224,стоматология новосибирск,90%,нет,54%,0,
225,дзержинская црб,100%,нет,64%,0,
226,мурманск стоматология,90%,нет,50%,0,
227,основа клиника,50%,да,42%,0,
228,первая семейная клиника на коломяжском,0%,нет,29%,-1,
229,воронеж мрт,100%,нет,84%,1,
230,симферополь стоматология,0%,нет,25%,-1,
231,продокторов спб,40%,нет,21%,-1,
232,продокторов екатеринбург,70%,нет,42%,0,
233,невролог спб,100%,нет,67%,1,
234,про докторов нижний новгород,70%,нет,35%,0,
235,волгоград клиника idm,70%,нет,43%,0,
236,стоматология калуга,100%,нет,66%,1,
237,кубинка одинмед,90%,нет,66%,1,
238,филатовская тюмень клиника,50%,нет,23%,-1,
239,prodoctorov,0%,нет,0%,-1,
240,москва госпиталь бурденко,50%,нет,0%,-1,
241,череповец стоматология,100%,нет,66%,1,
242,стоматология брянск,90%,нет,59%,0,
243,мрт красноярск,100%,нет,75%,1,
244,адлер медицинский центр даниэль,0%,нет,13%,-1,
245,красноярск про докторов,90%,нет,57%,0,
246,нижний новгород 39 больница,70%,нет,42%,0,
247,стоматология иваново,100%,нет,66%,1,
248,нижний новгород невролог,100%,нет,64%,0,
249,продокторов ставрополь,80%,нет,49%,0,
250,уфа продокторов,70%,нет,43%,0,
251,гастроэнтеролог казань,100%,нет,73%,1,
252,комаров сергей владимирович,0%,нет,0%,-1,
253,пермь продокторов,60%,нет,35%,0,
254,пенза клиника сити,70%,нет,0%,-1,
255,детский педиатр,90%,да,64%,0,
256,воронеж гинеколог,100%,нет,63%,0,
257,ева клиник магадан,90%,нет,35%,0,
258,7 роддом нижний новгород,100%,нет,0%,-1,
259,краснодар роддом 5,90%,нет,42%,0,
260,про докторов липецк,90%,нет,49%,0,
261,рефлексотерапевт,90%,да,67%,1,
262,люкс рязань медицинский центр,70%,нет,37%,0,
263,8 роддом,60%,да,21%,-1,
264,про докторов официальный сайт новосибирск,50%,нет,28%,-1,
265,продокторов волгоград,80%,нет,50%,0,
266,женская 3 консультация,40%,да,24%,-1,
267,стоматология обнинск,100%,нет,70%,1,
268,акушер москва,90%,нет,70%,1,
269,117 поликлиника,78%,да,0%,-1,
270,клиника друзья волгоград,90%,нет,42%,0,
271,липецк продокторов,90%,нет,49%,0,
272,москва проктолог,100%,нет,75%,1,
273,ставрополь диагностический центр западный обход,70%,нет,50%,0,
274,22 больница уфа,80%,нет,35%,0,
275,аборт цена,80%,да,100%,1,
276,мртшка волжский,60%,нет,42%,0,
277,рязань кожвендиспансер,50%,нет,56%,0,
278,психолог новосибирск,100%,нет,80%,1,
279,семейная клиника подольск,100%,нет,67%,1,
280,клиника беби бум во владимире,50%,нет,35%,0,
281,новосибирск дерматолог,100%,нет,57%,0,
282,невролог казань,100%,нет,70%,1,
283,мрт ростов на дону,80%,нет,61%,0,
284,дербент здоровье,70%,нет,42%,0,
285,орск медикана,80%,нет,59%,0,
286,поликлиника 1 ставрополь,80%,нет,49%,0,
287,владимир клиника нева,80%,нет,42%,0,
288,тамбов 4 поликлиника,90%,нет,42%,0,
289,челябинск мрт,90%,нет,80%,1,
290,новосибирск гинеколог,100%,нет,57%,0,
291,белармед домодедово,90%,нет,59%,0,
292,газмедцентр саратов заводской район,80%,нет,64%,0,
293,казань про докторов,90%,нет,43%,0,
294,мед спейс,20%,да,39%,0,
295,нейрохирург москва,90%,нет,59%,0,
296,ставрополь стоматология,90%,нет,50%,0,
297,краснодар больница краевая,50%,нет,0%,-1,
298,роддом 6,70%,да,0%,-1,
299,детская поликлиника новочебоксарск,70%,нет,70%,1,
300,продокторов владимир,60%,нет,35%,0,
301,мрт рязань,100%,нет,69%,1,
302,рязань кремлевская стоматология,70%,нет,52%,0,
303,клиника сити ставрополь,60%,нет,68%,1,
304,33 больница,75%,да,42%,0,
305,кардиолог москва,100%,нет,51%,0,
306,омск про докторов,80%,нет,49%,0,
307,детская поликлиника 14,100%,да,0%,-1,
308,гастроэнтеролог краснодар,100%,нет,73%,1,
309,платная поликлиника пятигорск,100%,нет,64%,0,
310,нижний новгород гинеколог,90%,нет,72%,1,
311,пульс гулькевичи,80%,нет,58%,0,
312,ставрополь про докторов,90%,нет,57%,0,
313,клиника восстановительной медицины тверь,80%,нет,46%,0,
314,екатеринбург дерматолог,100%,нет,63%,0,
315,псков стоматология,100%,нет,73%,1,
316,больница в москве моники,60%,нет,35%,0,
317,психотерапевт екатеринбург,100%,нет,72%,1,
318,профи клиник,60%,да,39%,0,
319,13 поликлиника детская,90%,да,0%,-1,
320,стоматология ижевск центральная,60%,нет,35%,0,
321,саратов 3 советская больница,80%,нет,58%,0,
322,краснодар детская поликлиника 1,80%,нет,49%,0,
323,доктор шишонин отзывы пациентов честные,0%,нет,4%,-1,
324,семейная клиника брянск бежицкий,90%,нет,55%,0,
325,нижний новгород дерматолог,100%,нет,58%,0,
326,медицина 31 белгород,80%,нет,28%,-1,
327,продокторов рязань,80%,нет,49%,0,
328,7 поликлиника иваново,100%,нет,57%,0,
329,стоматология белгород детская,100%,нет,42%,0,
330,нальчик медиум,50%,нет,35%,0,
331,дом здоровья великий новгород,80%,нет,56%,0,
332,2 поликлиника петрозаводск,60%,нет,49%,0,
333,про докторов рязань,90%,нет,42%,0,
334,про докторов екатеринбург,70%,нет,36%,0,
335,екатеринбург гастроэнтеролог,100%,нет,57%,0,
336,совенок клиника саратов,80%,нет,49%,0,
337,продокторов иркутск,80%,нет,42%,0,
338,медцентр альфа анапа,80%,нет,42%,0,
339,про докторов москва,40%,нет,14%,-1,
340,детская стоматология йошкар ола,100%,нет,72%,1,
341,белгород полимедика,90%,нет,0%,-1,
342,ростов на дону окдц,90%,нет,59%,0,
343,ржд стоматология,50%,да,38%,0,
344,тюмень мрт,100%,нет,78%,1,
345,невролог екатеринбург,100%,нет,58%,0,
346,психолог казань,100%,нет,77%,1,
347,череповец медицинский центр надежда,90%,нет,69%,1,
348,детская поликлиника 22,89%,да,66%,1,
349,невролог краснодар,100%,нет,61%,0,
350,гастроэнтеролог нижний новгород,100%,нет,57%,0,
351,городец медюнион,80%,нет,57%,0,
352,7 поликлиника детская курск,80%,нет,0%,-1,
353,поликлиника 83,60%,да,0%,-1,
354,продокторов москва,50%,нет,14%,-1,
355,саранск клиника ким,80%,нет,50%,0,
356,мрт брянск,100%,нет,75%,1,
357,чайковский эликсир,10%,да,26%,-1,
358,4 роддом краснодар,90%,нет,0%,-1,
359,мрт вологда,90%,нет,73%,1,
360,продокторов челябинск,60%,нет,42%,0,
361,больница 68,50%,да,0%,-1,
362,пенза продокторов,70%,нет,35%,0,
363,рязань 4 поликлиника,70%,нет,42%,0,
364,клиника шаталова елец,50%,нет,30%,-1,
365,новороссийск стоматология,100%,нет,73%,1,
366,100 мед,10%,да,15%,-1,
367,мытищинская клиническая городская больница,50%,да,30%,-1,
368,диагностический центр михайловск,70%,нет,36%,0,
369,волгоград областная больница,80%,нет,49%,0,
370,про докторов иркутск,100%,нет,57%,0,
371,новороссийск новомед дети,60%,нет,30%,-1,
372,платные услуги мкдц казань,70%,нет,100%,1,
373,гинеколог ростов на дону,100%,нет,64%,0,
374,будь здоров клиника на лиговском,0%,нет,19%,-1,
375,3 поликлиника регистратура детская,70%,да,44%,0,
376,центр фарватер психотерапевтический,20%,да,14%,-1,
377,анестезиолог реаниматолог,20%,да,14%,-1,
378,медика новокузнецк,70%,нет,69%,1,
379,областная больница 2 ростов на дону,75%,нет,0%,-1,
380,стоматология смоленск,90%,нет,59%,0,
381,киров альба,100%,нет,0%,-1,
382,30 поликлиника волгоград,80%,нет,49%,0,
383,мрт чебоксары,100%,нет,75%,1,
384,стоматология во владимире,100%,нет,73%,1,
385,гинеколог челябинск,90%,нет,63%,0,
386,мать и дитя иркутск,60%,нет,35%,0,
387,клиника нева киров,90%,нет,29%,-1,
388,стоматология королев,0%,нет,52%,0,
389,продокторов кемерово,70%,нет,42%,0,
390,4 роддом москва,80%,нет,0%,-1,
391,врач реабилитолог,60%,да,45%,0,
392,кемерово стоматология,90%,нет,63%,0,
393,поликлиника новочеркасск детская,100%,нет,0%,-1,
394,киров клиника наедине,60%,нет,29%,-1,
395,дерматолог онколог,70%,да,72%,1,
396,братск медграфт,90%,нет,49%,0,
397,продокторов саратов,80%,нет,43%,0,
398,невролог москва детский,80%,нет,61%,0,
399,33 поликлиника,88%,да,50%,0,
400,поликлиника 41,88%,да,49%,0,
401,фрязино аллоро,80%,нет,59%,0,
402,про докторов пермь,80%,нет,43%,0,
403,рефлекс балашиха,100%,нет,73%,1,
404,детская поликлиника фрязино,100%,нет,0%,-1,
405,чайковский эликсир д,0%,нет,20%,-1,
406,михайловск центр здоровья,80%,нет,54%,0,
407,юдино реабилитационный центр,10%,да,0%,-1,
408,диагностический центр в иркутске на байкальской услуги и цены,70%,нет,90%,1,
409,иркутск ивано матренинская детская больница,70%,нет,42%,0,
410,реутов моя семья клиника,90%,нет,52%,0,
411,осадчий виктор вадимович,0%,нет,13%,-1,
412,химки стоматология,100%,нет,98%,1,
413,красноярск гинеколог,90%,нет,66%,1,
414,врач спортивный,80%,да,51%,0,
415,лор нии санкт петербург,30%,нет,0%,-1,
416,спб психиатр,100%,нет,76%,1,
417,мед гарант в железнодорожном,40%,нет,16%,-1,
418,медицинский центр мира,60%,да,35%,0,
419,остеопат казань,100%,нет,57%,0,
420,11 поликлиника воронеж,80%,нет,42%,0,
421,казань психотерапевт,100%,нет,73%,1,
422,45 поликлиника детская,78%,да,0%,-1,
423,гастроэнтеролог воронеж,100%,нет,93%,1,
424,врач хирург стоматолог,90%,да,59%,0,
425,владикавказ мама плюс,80%,нет,57%,0,
426,нуриевых клиника ижевск,60%,нет,38%,0,
427,семья калуга клиника,70%,нет,28%,-1,
428,поликлиника 87,63%,да,55%,0,
429,краснодар скорая помощь,90%,нет,52%,0,
430,одинцово медикал он групп,100%,нет,69%,1,
431,областная больница детская брянск,80%,нет,56%,0,
432,уфа гинеколог,100%,нет,78%,1,
433,белгород детская областная больница,80%,нет,42%,0,
434,омск продокторов,80%,нет,42%,0,
435,ивастрамед иваново,70%,нет,79%,1,
436,поликлиника ивантеевка детская,90%,нет,64%,0,
437,спб офтальмолог,100%,нет,49%,0,
438,эндокринолог казань,100%,нет,66%,1,
439,киров стоматология лайт,90%,нет,69%,1,
440,новое девяткино поликлиника,0%,нет,5%,-1,
441,поликлиника волгодонск 3,60%,нет,35%,0,
442,волжский стоматология,90%,нет,59%,0,
443,пушкино врачеватель,100%,нет,64%,0,
444,волгоград про докторов,90%,нет,64%,0,
445,кожвендиспансер курск,80%,нет,0%,-1,
446,психолог уфа,100%,нет,77%,1,
447,анапа стоматология,100%,нет,71%,1,
448,7 больница казань,90%,нет,41%,0,
449,нии педиатрии,60%,да,0%,-1,
450,клиника европа иваново,80%,нет,28%,-1,
451,курск аквила,50%,нет,0%,-1,
452,больница святого владимира детская,100%,нет,0%,-1,
453,семашко нижний новгород,50%,нет,35%,0,
454,вита медицинский центр,70%,да,52%,0,
455,1 поликлиника хабаровск детская,88%,нет,0%,-1,
456,областная больница платные услуги,10%,да,93%,1,
457,онкодиспансер рязань,60%,нет,42%,0,
458,смарт клиника,40%,да,28%,-1,
459,мрт белгород,100%,нет,82%,1,
460,саратов роддом 4,80%,нет,35%,0,
461,центр абакан диагностический,100%,нет,0%,-1,
462,москва бурденко,50%,нет,21%,-1,
463,пермь профессорская клиника,80%,нет,47%,0,
464,вологда семейная клиника на некрасова,100%,нет,68%,1,
465,новая медицина павловский посад,90%,нет,0%,-1,
466,эндокринолог спб,100%,нет,72%,1,
467,про врачей,0%,нет,0%,-1,
468,про докторов кемерово,80%,нет,42%,0,
469,гинеколог саратов,100%,нет,78%,1,
470,таганрог стоматология,100%,нет,81%,1,
471,воронеж невролог,100%,нет,64%,0,
472,эндокринолог краснодар,100%,нет,65%,0,
473,7 гкб,50%,да,0%,-1,
474,поликлиника межвузовская краснодар,100%,нет,56%,0,
475,больница 71,40%,да,0%,-1,
476,гинеколог самара,100%,нет,77%,1,
477,стоматология нижнекамск,100%,нет,65%,0,
478,продокторов ру новосибирск,60%,нет,35%,0,
479,краснодар про докторов официальный сайт,80%,нет,28%,-1,
480,уролог воронеж,90%,нет,60%,0,
481,всеволожск династия,90%,нет,68%,1,
482,центродент калининград,80%,нет,64%,0,
483,днк лаборатория кострома,60%,нет,37%,0,
484,стоматолог гигиенист,30%,да,21%,-1,
485,поликлиника 2 волжский детская,90%,нет,0%,-1,
486,ккб 1 в краснодаре,50%,нет,19%,-1,
487,невролог уфа,100%,нет,66%,1,
488,невролог белгород,100%,нет,78%,1,
489,невролог самара,100%,нет,57%,0,
490,невролог новосибирск,100%,нет,59%,0,
491,астродент ростов на дону,80%,нет,59%,0,
492,мрт стерлитамак,90%,нет,66%,1,
493,улан удэ ритм,80%,нет,42%,0,
494,диамед кинель,60%,нет,0%,-1,
495,краснодар детский невролог,100%,нет,73%,1,
496,российский научный центр хирургии им академика б в петровского,0%,нет,3%,-1,
497,газмедцентр саратов,70%,нет,60%,0,
498,мрт во владимире,100%,нет,80%,1,
499,воронеж психотерапевт,100%,нет,93%,1,
500,психолог волгоград,100%,нет,80%,1,
501,врач диетолог,70%,да,46%,0,
502,воронеж проктолог,100%,нет,64%,0,
503,липецк детская стоматология,80%,нет,64%,0,
504,забота и здоровье череповец,80%,нет,49%,0,
505,про докторов сургут,80%,нет,42%,0,
506,психолог самара,100%,нет,77%,1,
507,анисия октябрьский башкортостан,80%,нет,58%,0,
508,поликлиника 97 выборгского района,0%,нет,28%,-1,
509,экомед городец,70%,нет,51%,0,
510,детская стоматология поликлиника,80%,да,49%,0,
511,тамбов поликлиника 3,88%,нет,0%,-1,
512,2 поликлиника регистратура детская,80%,да,0%,-1,
513,пэт кт отзывы пациентов,30%,да,0%,-1,
514,про докторов курск,90%,нет,49%,0,
515,врач репродуктолог,60%,да,43%,0,
516,гинеколог пенза,100%,нет,81%,1,
517,стоматология краснодар народная,60%,нет,35%,0,
518,ростов на дону бсмп 2,80%,нет,0%,-1,
519,краснодар 17 поликлиника,70%,нет,35%,0,
520,кстово тонус кроха,70%,нет,62%,0,
521,невролог рязань,100%,нет,73%,1,
522,стоматология великий новгород,100%,нет,70%,1,
523,воронеж дерматолог,100%,нет,64%,0,
524,саратов про докторов,80%,нет,43%,0,
525,волгоград гинеколог,100%,нет,77%,1,
526,геленджик стоматология,100%,нет,73%,1,
527,клиника эксперт новосибирск,90%,нет,42%,0,
528,самара дерматолог,100%,нет,58%,0,
529,дубна медсити,50%,да,39%,0,
530,физиотерапевт врач,60%,да,50%,0,
531,волжский благомед,60%,нет,63%,0,
532,челябинская областная клиническая больница,70%,да,0%,-1,
533,альфа стоматология рязань,80%,нет,58%,0,
534,челябинск психотерапевт,100%,нет,72%,1,
535,севастополь аванта,0%,нет,26%,-1,
536,стоматология нижний тагил,100%,нет,81%,1,
537,военный госпиталь ростов,80%,нет,49%,0,
538,детская стоматология уфа,90%,нет,71%,1,
539,белгород гинеколог,90%,нет,59%,0,
540,чехов стоматология,90%,нет,74%,1,
541,стоматология нефтекамск,100%,нет,69%,1,
542,сайт про докторов ростов на дону официальный,50%,нет,29%,-1,
543,продокторов москва сайт официальный сайт,20%,нет,7%,-1,
544,клиника корл казань,70%,нет,37%,0,
545,медпрестиж,0%,нет,12%,-1,
546,невролог красноярск,100%,нет,65%,0,
547,рязань женская консультация 1,100%,нет,49%,0,
548,санкт петербург стоматолог,90%,нет,50%,0,
549,продокторов тула,80%,нет,49%,0,
550,стоматология старый оскол,100%,нет,78%,1,
551,14 поликлиника барнаул,80%,нет,52%,0,
552,екатеринбург преображенская клиника,80%,нет,42%,0,
553,лайт неболейка киров,90%,нет,57%,0,
554,стоматология улан удэ,80%,нет,60%,0,
555,7 поликлиника иваново детская,80%,нет,0%,-1,
556,танмед саратов,80%,нет,43%,0,
557,поликлиника 106,89%,да,65%,0,
558,детская поликлиника 16,89%,да,0%,-1,
559,пэт технолоджи в балашихе,90%,нет,58%,0,
560,20 детская поликлиника,90%,да,0%,-1,
561,медицинский центр пульс елец,60%,нет,45%,0,
562,50 поликлиника,75%,да,0%,-1,
563,больница давыдовского,40%,да,28%,-1,
564,иммунолог врач,70%,да,50%,0,
565,маммолог казань,100%,нет,63%,0,
566,про докторов ярославль,100%,нет,58%,0,
567,челябинск гастроэнтеролог,90%,нет,59%,0,
568,нижний новгород уролог,100%,нет,63%,0,
569,кардио плюс новочеркасск,90%,нет,50%,0,
570,рязань кардиодиспансер,70%,нет,42%,0,
571,красноярск гастроэнтеролог,100%,нет,57%,0,
572,мама клиника,50%,да,28%,-1,
573,краснодар уролог,100%,нет,80%,1,
574,ростов на дону поликлиника 20,100%,нет,38%,0,
575,поликлиника 56,63%,да,37%,0,
576,76 поликлиника,100%,да,55%,0,
577,панацея волгоград красноармейский,90%,нет,49%,0,
578,1 детская поликлиника ростов на дону,70%,нет,0%,-1,
579,психотерапевт нижний новгород,100%,нет,72%,1,
580,новосибирск психотерапевт,100%,нет,70%,1,
