#,Поисковый запрос,"Локализация, %",Геозависимость,"Коммерциализация, %",Коммерция код,%коомерции 
202,фортунер тойота,40%,да,39%,0,
203,купить тойота камри,70%,да,93%,1,
204,мокка опель,30%,да,24%,-1,
205,рс7 ауди,0%,нет,51%,0,
206,авто ру авто москва с пробегом,57%,нет,98%,1,
207,шевроле нива купить,80%,да,100%,1,
208,галант митсубиси,20%,да,22%,-1,
209,некст газель купить,56%,да,100%,1,
210,nexia daewoo,60%,да,49%,0,
211,а5 шкода октавия,20%,да,23%,-1,
212,иж ода,20%,да,22%,-1,
213,audi q7,50%,да,53%,0,
214,грейт вол,60%,да,54%,0,
215,поло купить фольксваген,90%,да,100%,1,
216,ауди купить,80%,да,99%,1,
217,москва и московская область авто ру,50%,нет,32%,-1,
218,рс 6 ауди,0%,нет,38%,0,
219,рено меган 2,20%,да,22%,-1,
220,karma fisker,0%,нет,10%,-1,
221,escalade cadillac,30%,да,35%,0,
222,грузовики,70%,да,81%,1,
223,фиат альбеа,10%,да,18%,-1,
224,мотоцикл купить минск,80%,нет,96%,1,
225,matiz daewoo,30%,да,30%,-1,
226,хонда одиссей,20%,да,32%,-1,
227,авто ру москва и московская авто с пробегом,30%,нет,100%,1,
228,ram машина,0%,нет,36%,0,
229,демио мазда,30%,да,29%,-1,
230,audi q8,50%,да,53%,0,
231,саньенг,40%,да,44%,0,
232,аркана,0%,нет,32%,-1,
233,лиф ниссан,0%,нет,21%,-1,
234,купить минивэн,80%,да,100%,1,
235,тойота 200 ленд крузер,60%,да,47%,0,
236,форд фокус 2 рестайлинг,0%,нет,30%,-1,
237,газ 3110,10%,да,18%,-1,
238,машину бу купить,100%,да,100%,1,
239,300 с,100%,да,34%,-1,
240,307 пежо,30%,да,18%,-1,
241,десятка машина,20%,да,35%,0,
242,авто ру свердловская область авто с пробегом,0%,нет,97%,1,
243,б5 пассат,20%,да,22%,-1,
244,opel astra,50%,да,57%,0,
245,шанс заз,30%,да,29%,-1,
246,санни ниссан,40%,да,38%,0,
247,амарок фольксваген,40%,да,56%,0,
248,jac js4,20%,да,32%,-1,
249,сильвия ниссан,22%,да,25%,-1,
250,бмв м6,10%,да,25%,-1,
251,хонда пилот,30%,да,35%,0,
252,2705 газ,38%,да,45%,0,
253,пикап машина,50%,да,49%,0,
254,ауди рс 7,0%,нет,35%,0,
255,машину купить в москве,20%,нет,97%,1,
256,покажи машины,0%,нет,43%,0,
257,ниссан g15 альмера,20%,да,30%,-1,
258,ламборгини хуракан,0%,нет,28%,-1,
259,бмв купить х5,75%,да,96%,1,
260,китайский минивэн,0%,нет,24%,-1,
261,пассат б6,20%,да,25%,-1,
262,datsun on do,0%,нет,52%,0,
263,тагаз,10%,да,51%,0,
264,пикап нива,20%,да,30%,-1,
265,спорт рендж ровер,30%,да,51%,0,
266,автомобиль китайский купить,60%,да,97%,1,
267,тойота минивэн,50%,да,67%,1,
268,m5 e60 bmw,20%,да,22%,-1,
269,nissan leaf,20%,да,26%,-1,
270,додж караван,50%,да,44%,0,
271,сузуки свифт,30%,да,23%,-1,
272,купить транзит форд,80%,да,99%,1,
273,везел хонда,30%,да,42%,0,
274,антара опель,30%,да,25%,-1,
275,тойота креста,20%,да,33%,-1,
276,audi a4,60%,да,45%,0,
277,авто ульяновск авто с пробегом,30%,нет,99%,1,
278,каско это,0%,нет,29%,-1,
279,амулет чери,30%,да,24%,-1,
280,suzuki sx4,30%,да,29%,-1,
281,автомобилей продажа,90%,да,98%,1,
282,ваз 2106 купить,80%,да,100%,1,
283,bmw e36,20%,да,22%,-1,
284,купить аурус,40%,да,100%,1,
285,fusion ford,30%,да,37%,0,
286,б3 пассат,30%,да,26%,-1,
287,ниву бу купить,38%,да,85%,1,
288,e38 bmw,10%,да,30%,-1,
289,знаки регулировщика,0%,нет,0%,-1,
290,китайские машины в россии марки цена,10%,да,76%,1,
291,рено логан 2,30%,да,29%,-1,
292,волга 3102,50%,да,32%,-1,
293,bmw f10,10%,да,22%,-1,
294,жук машина,0%,нет,37%,0,
295,ниссан скайлайн р34,0%,нет,30%,-1,
296,купить zeekr 001 в москве,0%,нет,100%,1,
297,купить в донецке авто,90%,нет,84%,1,
298,китайские электромобили,50%,да,71%,1,
299,автомобиль купить новый,80%,да,100%,1,
300,ламборгини авентадор,0%,нет,30%,-1,
301,авто саратовская область авто с пробегом,0%,нет,98%,1,
302,lamborghini aventador,20%,да,31%,-1,
303,авто с пробегом в москве,10%,нет,100%,1,
304,лексус 570 лх,40%,да,30%,-1,
305,надежда лада,20%,да,21%,-1,
306,bmw i3,20%,да,22%,-1,
307,ламборгини сколько стоит,0%,нет,100%,1,
308,гелик машина,30%,да,48%,0,
309,ix35 хендай,30%,да,24%,-1,
310,сколько ламборгини стоит,0%,нет,100%,1,
311,уаз хантер купить,80%,да,100%,1,
312,golf volkswagen,60%,да,50%,0,
313,1 форд фокус,30%,да,34%,-1,
314,mercedes gle,60%,да,53%,0,
315,408 москвич,20%,да,15%,-1,
316,land cruiser 200,40%,да,40%,0,
317,ленд крузер прадо тойота,50%,да,52%,0,
318,ситроен с5,10%,да,25%,-1,
319,обозначение значков на панели приборов,0%,нет,18%,-1,
320,nissan skyline r34,11%,да,25%,-1,
321,mitsubishi eclipse,30%,да,38%,0,
322,марч ниссан,30%,да,36%,0,
323,407 пежо,20%,да,16%,-1,
324,6 икс 6,0%,нет,61%,0,
325,купить авто в днр донецке,70%,нет,75%,1,
326,электрокар,40%,да,37%,0,
327,gle мерседес,60%,да,53%,0,
328,серена ниссан,30%,да,23%,-1,
329,авто купить в крыму бу,90%,нет,78%,1,
330,кангу рено,30%,да,28%,-1,
331,купить ниссан,90%,да,100%,1,
332,крутящий момент,0%,нет,0%,-1,
333,gac gs8 2023 купить,25%,да,91%,1,
334,шевроле эквинокс,20%,да,33%,-1,
335,камара,0%,нет,39%,0,
336,марк машина,0%,нет,38%,0,
337,гольф 6,20%,да,22%,-1,
338,цена майбах,0%,нет,100%,1,
339,ипсум тойота,20%,да,32%,-1,
340,крым автобазар,100%,нет,73%,1,
341,камаро шевроле купить,50%,да,76%,1,
342,2121 нива,22%,да,22%,-1,
343,санкт петербург авто ру,90%,нет,100%,1,
344,fx35 инфинити,20%,да,24%,-1,
345,к3 киа,40%,да,37%,0,
346,мазда 626,40%,да,41%,0,
347,пикапы,40%,да,49%,0,
348,тойота марк,40%,да,34%,-1,
349,авто купить в крыму с пробегом,70%,нет,96%,1,
350,мазда 323,40%,да,42%,0,
351,марки машин китайские,0%,нет,38%,0,
352,q5 audi,80%,да,61%,0,
353,mitsubishi xpander,10%,да,29%,-1,
354,победа машина,10%,да,22%,-1,
355,toyota chaser,11%,да,25%,-1,
356,getz hyundai,40%,да,37%,0,
357,мазда сх4,0%,нет,30%,-1,
358,маркировка шин,0%,нет,2%,-1,
359,мерседес гелендваген,10%,да,44%,0,
360,пикап китайский,10%,да,51%,0,
361,хонда стрим,20%,да,20%,-1,
362,вариатор коробка,0%,нет,8%,-1,
363,договор купли продажи авто авто ру,0%,нет,7%,-1,
364,f30 bmw,30%,да,23%,-1,
365,электромобили,40%,да,44%,0,
366,мерс кабан,10%,да,20%,-1,
367,mondeo ford,20%,да,38%,0,
368,купить сузуки гранд витара,50%,да,93%,1,
369,параллельная парковка задним ходом для начинающих пошагово,0%,нет,0%,-1,
370,воронеж авто ру,90%,нет,89%,1,
371,акула мерс,0%,нет,37%,0,
372,touareg volkswagen,40%,да,53%,0,
373,хендай минивэн,60%,да,59%,0,
374,пассат сс,0%,нет,23%,-1,
375,100 с4 ауди,20%,да,28%,-1,
376,gla,0%,нет,51%,0,
377,митсубиси лансер 9,20%,да,23%,-1,
378,ауди машина,40%,да,45%,0,
379,aveo chevrolet,40%,да,50%,0,
380,калибр додж,20%,да,19%,-1,
381,максима ниссан,30%,да,32%,-1,
382,а6,0%,нет,42%,0,
383,навара ниссан,10%,да,20%,-1,
384,липучка или шипы что лучше,0%,нет,2%,-1,
385,chevrolet corvette,20%,да,34%,-1,
386,toyota mark 2,20%,да,24%,-1,
387,а6 ауди с5,20%,да,21%,-1,
388,авто ру авто россия,0%,нет,12%,-1,
389,шаран фольксваген,30%,да,38%,0,
390,nissan juke,30%,да,28%,-1,
391,toyota tank,20%,да,34%,-1,
392,ховер н3,20%,да,30%,-1,
393,навигатор линкольн,30%,да,45%,0,
394,купить ваз 2110,70%,да,100%,1,
395,starex hyundai,50%,да,45%,0,
396,audi a5,40%,да,45%,0,
397,остановка и стоянка запрещена знак,0%,нет,0%,-1,
398,cls 63,0%,нет,30%,-1,
399,альтеза тойота,30%,да,33%,-1,
400,audi a7,40%,да,37%,0,
401,чери тигго т11,0%,нет,28%,-1,
402,tt audi,10%,да,24%,-1,
403,спорт калина,60%,да,63%,0,
404,купить матиз,80%,да,100%,1,
405,geely coolray купить,80%,да,100%,1,
406,508 пежо,20%,да,24%,-1,
407,audi a8,50%,да,45%,0,
408,teana nissan,40%,да,31%,-1,
409,гелендваген купить,80%,да,100%,1,
410,галакси форд,60%,да,53%,0,
411,nissan 350z,10%,да,21%,-1,
412,mazda rx 8,0%,нет,23%,-1,
413,мерседес 140,10%,да,22%,-1,
414,x 2,0%,нет,28%,-1,
415,купить ауди а6,80%,да,93%,1,
416,машина восьмерка,30%,да,22%,-1,
417,автобус сколько стоит,70%,да,99%,1,
418,икс рей,0%,нет,59%,0,
419,auto cars ru,0%,нет,60%,0,
420,джип мерседес,50%,да,54%,0,
421,е90 бмв,0%,нет,24%,-1,
422,пятерка машина,0%,нет,19%,-1,
423,2104 ваз купить,78%,да,100%,1,
424,аккорд хонда 8,0%,нет,31%,-1,
425,мерседес gla,60%,да,53%,0,
426,рав 4 купить,70%,да,93%,1,
427,бумер машина,0%,нет,15%,-1,
428,седельный тягач,60%,да,80%,1,
429,паджеро 4,30%,да,29%,-1,
430,москвич 401,20%,да,19%,-1,
431,тойота спринтер,10%,да,31%,-1,
432,хс70 вольво,50%,да,55%,0,
433,митсубиси паджеро спорт купить,60%,да,97%,1,
434,н5 ховер,30%,да,44%,0,
435,аркана рено купить,60%,да,100%,1,
436,ec7 geely emgrand,10%,да,24%,-1,
437,купить форд эксплорер,75%,да,100%,1,
438,лексус рх 300,50%,да,50%,0,
439,джили монжаро цена,80%,да,93%,1,
440,гольф 3,40%,да,35%,0,
441,priora lada,30%,да,23%,-1,
442,авто лнр,0%,нет,56%,0,
443,600 лексус,40%,да,41%,0,
444,toyota gt86,0%,нет,31%,-1,
445,купить порше кайен,60%,да,79%,1,
446,додж челленджер купить,83%,да,99%,1,
447,ауди а4 купить,90%,да,96%,1,
448,класс мерседес s,40%,да,63%,0,
449,калина спорт 2,10%,да,22%,-1,
450,купить мустанг форд,40%,да,98%,1,
451,киа карнивал купить,57%,да,100%,1,
452,машина форд,30%,да,45%,0,
453,volkswagen bora,40%,да,38%,0,
454,китайские внедорожники,20%,да,43%,0,
455,авто в минске купить,70%,нет,98%,1,
456,смарт мерседес,30%,да,35%,0,
457,smart машина,30%,да,32%,-1,
458,клио рено,40%,да,40%,0,
459,р34 скайлайн,0%,нет,25%,-1,
460,классы автомобилей,0%,нет,1%,-1,
461,mitsubishi galant,30%,да,37%,0,
462,lexus 570 lx,40%,да,30%,-1,
463,100 чайзер,0%,нет,28%,-1,
464,миата,0%,нет,15%,-1,
465,авто купить в москве бу,0%,нет,98%,1,
466,спорткары,0%,нет,27%,-1,
467,бмв м8 цена,30%,да,80%,1,
468,viper dodge,10%,да,23%,-1,
469,актрос мерседес,20%,да,30%,-1,
470,прадо 120,30%,да,15%,-1,
471,600 мерседес,10%,да,22%,-1,
472,hyundai i30,40%,да,31%,-1,
473,галант мицубиси,40%,да,47%,0,
474,2131 ваз,14%,да,40%,0,
475,мерседес купе,60%,да,64%,0,
476,4 лада,50%,да,42%,0,
477,150 прадо,20%,да,24%,-1,
478,levorg subaru,10%,да,19%,-1,
479,жилая зона знак,0%,нет,0%,-1,
480,митсубиси аутлендер купить,57%,да,99%,1,
481,купить ламборгини,78%,да,100%,1,
482,купить мазда сх5,30%,да,93%,1,
483,avto,0%,нет,34%,-1,
484,одностороннее движение знак,0%,нет,0%,-1,
485,внедорожники,60%,да,61%,0,
486,silvia nissan,20%,да,22%,-1,
487,автору ру авто с пробегом по россии,0%,нет,72%,1,
488,авто ру крым,90%,нет,63%,0,
489,бмв е34 купить,30%,да,57%,0,
490,авто с пробегом купить в москве и московской области,30%,нет,98%,1,
491,м5 цена бмв,20%,да,99%,1,
492,автору ру авто,0%,нет,14%,-1,
493,ford focus 2,20%,да,30%,-1,
494,тойота ноах,20%,да,18%,-1,
495,li7,0%,нет,35%,0,
496,ф90 бмв,0%,нет,36%,0,
497,инфинити купить,80%,да,99%,1,
498,i8,0%,нет,26%,-1,
499,машина не заводится,10%,да,0%,-1,
500,москвич цена,57%,да,68%,1,
501,ниссан лаурель,20%,да,22%,-1,
502,epc,0%,нет,0%,-1,
503,купить форд,80%,да,100%,1,
504,107 пежо,20%,да,21%,-1,
505,а 4 2 4,0%,нет,14%,-1,
506,vezel honda,20%,да,34%,-1,
507,x 3,0%,нет,48%,0,
508,h1 hyundai,60%,да,46%,0,
509,рейнджер форд,30%,да,42%,0,
510,машина ниссан,50%,да,46%,0,
511,исис тойота,20%,да,27%,-1,
512,smart fortwo,10%,да,20%,-1,
513,i40 hyundai,30%,да,24%,-1,
514,китайские авто марки,20%,да,56%,0,
515,hellcat dodge challenger,20%,да,34%,-1,
516,hellcat dodge,20%,да,35%,0,
517,эбу,0%,нет,22%,-1,
518,газ 24 24 купить,30%,да,80%,1,
519,атлас джили купить,90%,да,97%,1,
520,toyota century,0%,нет,18%,-1,
521,контрактный двигатель,40%,да,67%,1,
522,авто орел авто с пробегом,0%,нет,100%,1,
523,цлс,40%,да,46%,0,
524,парковка параллельная задним ходом,0%,нет,0%,-1,
525,микроавтобус тойота,50%,да,56%,0,
526,li 7,0%,нет,35%,0,
527,как проверить мультиметром аккумулятор,0%,нет,0%,-1,
528,форд пикап,40%,да,55%,0,
529,авто ру авто с пробегом в крыму,100%,нет,78%,1,
530,volkswagen caddy,30%,да,37%,0,
531,хендай велостер,10%,да,35%,0,
532,альфард тойота купить,80%,да,92%,1,
533,седан машина,60%,да,49%,0,
534,купить электромобиль в москве,20%,нет,100%,1,
535,audi e tron,40%,да,47%,0,
536,блейзер шевроле,10%,да,41%,0,
537,100 марк 2,0%,нет,40%,0,
538,ниссан 350z,10%,да,17%,-1,
539,крузак 100,0%,нет,13%,-1,
540,купить пикап,80%,да,100%,1,
541,q3 audi,50%,да,54%,0,
542,тахо шевроле купить,50%,да,78%,1,
543,ламборджини урус,0%,нет,37%,0,
544,солио сузуки,20%,да,19%,-1,
545,рио 2 киа,30%,да,30%,-1,
546,купить бу ниссан х трейл,70%,да,99%,1,
547,додж демон,0%,нет,33%,-1,
548,купить патрол ниссан,70%,да,92%,1,
549,mazda mx 5,10%,да,16%,-1,
550,авто владимирская область авто с пробегом,0%,нет,99%,1,
551,бентли цена,0%,нет,98%,1,
552,роллс ройс купить,90%,да,100%,1,
553,lexus is 250,20%,да,19%,-1,
554,volvo xc70,40%,да,26%,-1,
555,q6 ауди,50%,да,38%,0,
556,223 мерседес,20%,да,30%,-1,
557,ниссан ад,20%,да,31%,-1,
558,спб авто ру авто с пробегом,60%,нет,92%,1,
559,купить шкода кодиак,60%,да,98%,1,
560,рено логан 1,20%,да,22%,-1,
561,gmc terrain,0%,нет,19%,-1,
562,купить 469 уаз,40%,да,100%,1,
563,а7 октавия,10%,да,24%,-1,
564,мерседес 212,20%,да,29%,-1,
565,машина маленькая,0%,нет,16%,-1,
566,glc мерседес,60%,да,61%,0,
567,фото танк 500,0%,нет,39%,0,
568,е мерседес,70%,да,53%,0,
569,ауди а 5,60%,да,45%,0,
570,хонда прелюд,10%,да,32%,-1,
571,тойота 40 камри,30%,да,25%,-1,
572,тойота камри 40,20%,да,25%,-1,
573,шевроле оникс,10%,да,22%,-1,
574,помеха справа,0%,нет,0%,-1,
575,a3 audi,60%,да,46%,0,
576,купить рендж ровер,80%,да,100%,1,
577,а класс мерседес,70%,да,62%,0,
578,g30 bmw,30%,да,42%,0,
579,авто ру продажа автомобилей,50%,да,80%,1,
580,б7 пассат,40%,да,24%,-1,
581,бмв м5 е34,0%,нет,27%,-1,
582,цена гелик,0%,нет,73%,1,
583,купить в луганске машину,0%,нет,59%,0,
584,гелендваген цена 2023,50%,да,100%,1,
585,xf ягуар,70%,да,53%,0,
586,а1 ауди,30%,да,38%,0,
587,2121,60%,да,43%,0,
588,ауди r8,30%,да,23%,-1,
589,мерседес 190,30%,да,26%,-1,
590,www auto ru,0%,нет,14%,-1,
591,датчик положения дроссельной заслонки,0%,нет,24%,-1,
592,дкп авто авто ру,0%,нет,12%,-1,
593,машина сколько стоит,80%,да,100%,1,
594,купить шевроле,80%,да,100%,1,
595,смарт автомобиль,50%,да,46%,0,
596,сколько ламба стоит,0%,нет,98%,1,
597,сколько стоит ламба,0%,нет,92%,1,
598,520 бмв,20%,да,45%,0,
599,купить тойота хайлюкс,80%,да,93%,1,
600,s40 volvo,40%,да,31%,-1,
601,нива шевроле бу купить,50%,да,89%,1,
602,опель вектра б,30%,да,23%,-1,
603,сколько стоит машина,80%,да,99%,1,
604,мазда 3 купить,60%,да,88%,1,
605,автомобили новые китайские,40%,да,62%,0,
606,90 марк 2,0%,нет,20%,-1,
607,е39 бмв м5,0%,нет,22%,-1,
608,фронтера опель,20%,да,29%,-1,
609,470 лексус,10%,да,32%,-1,
610,ssangyong actyon,30%,да,32%,-1,
611,гольф машина,50%,да,62%,0,
612,авто ру авто с пробегом москва и московская область купить,60%,нет,98%,1,
613,volvo s80,10%,да,23%,-1,
614,mitsubishi delica,20%,да,28%,-1,
615,логан рено степвей,50%,да,51%,0,
616,минивэн мерседес,60%,да,54%,0,
617,лада 2114,75%,да,37%,0,
618,цена тойота камри,90%,да,100%,1,
619,бмв е32,10%,да,22%,-1,
620,w124,0%,нет,16%,-1,
621,пежо 207,20%,да,25%,-1,
622,шевроле камаро цена,0%,нет,100%,1,
623,опель астра j 1.6,30%,да,23%,-1,
624,газ 2752,20%,да,49%,0,
625,huracan lamborghini,10%,да,27%,-1,
626,2115 ваз купить,60%,да,100%,1,
627,965 заз,20%,да,15%,-1,
628,mazda cx 4,10%,да,47%,0,
629,купить в москве машину с пробегом,0%,нет,100%,1,
630,авто ру оценка авто,0%,нет,44%,0,
631,мазерати цена,0%,нет,93%,1,
632,феррари купить,70%,да,100%,1,
633,джили мк,30%,да,36%,0,
634,москвич 403,10%,да,18%,-1,
635,альтеза,20%,да,41%,0,
636,avensis toyota,30%,да,29%,-1,
637,фиат дукато купить,70%,да,99%,1,
638,опель кадет,30%,да,40%,0,
639,венга киа,50%,да,42%,0,
640,honda civic r type,10%,да,23%,-1,
641,пикап чанган,40%,да,67%,1,
642,корейские машины,40%,да,55%,0,
643,ламборгини урус цена,0%,нет,76%,1,
644,купить ока,50%,да,96%,1,
645,купить шевроле круз,90%,да,100%,1,
646,марк машина 2,0%,нет,19%,-1,
