#,Поисковый запрос,"Локализация, %",Геозависимость,"Коммерциализация, %",Коммерция код,%коомерции 
65,абхазия отдых 2022 цены все включено на берегу моря,10%,да,73%,1,
66,туроператор корал тревел,30%,да,30%,-1,
67,русский экспресс,20%,да,12%,-1,
68,дельфин туроператор,40%,да,20%,-1,
69,туроператор туи,30%,да,31%,-1,
70,арабские эмираты,0%,нет,17%,-1,
71,занзибар,0%,нет,0%,-1,
72,интурист туроператор официальный сайт,20%,да,15%,-1,
73,андорра,0%,нет,2%,-1,
74,травелата купить тур онлайн с вылетом из москвы,20%,нет,53%,0,
75,санторини,0%,нет,0%,-1,
76,магазин путешествий,10%,да,14%,-1,
77,библиоглобус тур,30%,да,36%,0,
78,туры в тайланд,0%,нет,100%,1,
79,хургада,20%,да,15%,-1,
80,библиоглобус туроператор сайт официальный сайт,20%,да,21%,-1,
81,интурист туроператор,10%,да,23%,-1,
82,мармарис,10%,да,15%,-1,
83,иссык куль,0%,нет,0%,-1,
84,tez tour,20%,да,44%,0,
85,sun туроператор fun,20%,да,41%,0,
86,хайнань,0%,нет,15%,-1,
87,официальный сайт тез тур,0%,нет,15%,-1,
88,шарджа,0%,нет,1%,-1,
89,русь туроператор,30%,да,23%,-1,
90,горящие туры в турцию,0%,нет,93%,1,
91,сухум,0%,нет,7%,-1,
92,шри ланка отдых,20%,да,33%,-1,
93,островок отели,10%,да,13%,-1,
94,туры горящие из москвы,100%,нет,100%,1,
95,санрайз,30%,да,22%,-1,
96,тинь,20%,да,21%,-1,
97,анталья,0%,нет,8%,-1,
98,сегодня погода казань,90%,нет,0%,-1,
99,отдых в сочи в,100%,нет,85%,1,
100,варадеро,0%,нет,12%,-1,
101,таиланд пхукет,0%,нет,7%,-1,
102,турагентство,50%,да,51%,0,
103,официальный сайт туи туроператор,0%,нет,32%,-1,
104,cina xxx,0%,нет,16%,-1,
105,гранд экспресс,0%,нет,21%,-1,
106,sunmar,40%,да,43%,0,
107,даламан,0%,нет,6%,-1,
108,гагры,0%,нет,10%,-1,
109,эмираты,10%,да,16%,-1,
110,библио глобус сайт официальный сайт,30%,да,17%,-1,
111,пицунда,0%,нет,15%,-1,
112,афон новый,0%,нет,20%,-1,
113,алина тур,10%,да,15%,-1,
114,сейшельские острова,90%,нет,0%,-1,
115,дельфин официальный сайт туроператор,0%,нет,18%,-1,
116,тур онлайн,0%,нет,74%,1,
117,слетать ру поиск тура официальный сайт,0%,нет,36%,0,
118,мармарис турция,0%,нет,12%,-1,
119,нтк,10%,да,0%,-1,
120,магазин путешествий туроператор официальный сайт,20%,да,14%,-1,
121,bgoperator ru,0%,нет,0%,-1,
122,sunrise,30%,да,7%,-1,
123,кемер турция,0%,нет,13%,-1,
124,москва дубай,90%,нет,69%,1,
125,сейчас время в новосибирске,30%,нет,0%,-1,
126,горящие путевки,80%,да,100%,1,
127,домбай отдых,0%,нет,39%,0,
128,сиде турция,0%,нет,7%,-1,
129,в турцию путевки,10%,да,95%,1,
130,барбадос,10%,да,0%,-1,
131,алания турция,40%,нет,23%,-1,
132,туры в китай,0%,нет,78%,1,
133,официальный сайт туртрансвояж,10%,да,14%,-1,
134,сайт библио глобус туроператор официальный,20%,да,21%,-1,
135,объединенные арабские эмираты,0%,нет,0%,-1,
136,гавана,0%,нет,0%,-1,
137,пак групп туроператор,30%,да,28%,-1,
138,офисная планета,0%,нет,51%,0,
139,пак,20%,да,14%,-1,
140,эйлат,0%,нет,0%,-1,
141,мале,0%,нет,12%,-1,
142,тайланд туры цены 2023,80%,да,98%,1,
143,анекс туроператор официальный сайт,10%,да,32%,-1,
144,тез тур подбор тура,20%,да,50%,0,
145,пакс туроператор,50%,да,33%,-1,
146,бодрум турция,0%,нет,0%,-1,
147,карелия отдых,100%,нет,74%,1,
148,пакс,70%,да,82%,1,
149,варадеро куба,10%,да,7%,-1,
150,берег лазурный,0%,нет,0%,-1,
151,банк туров,50%,да,23%,-1,
152,онлайн турс,0%,нет,10%,-1,
153,туртрансвояж,0%,нет,7%,-1,
154,абхазия афон новый,0%,нет,13%,-1,
155,анталия турция,0%,нет,16%,-1,
156,туроператоры,30%,да,43%,0,
157,поиск по всем туроператорам туров,20%,да,45%,0,
158,анекс туроператор,50%,да,50%,0,
159,яндекс авиабилеты путешествия,10%,да,41%,0,
160,отдых,20%,да,35%,0,
161,абхазия пицунда,0%,нет,13%,-1,
162,белек,0%,нет,21%,-1,
163,самуи,0%,нет,1%,-1,
164,стамбул турция,0%,нет,0%,-1,
165,пак групп,10%,да,14%,-1,
166,тур ржд,10%,да,21%,-1,
167,корал тревел сайт туроператор официальный,10%,да,13%,-1,
168,туры в дубай,10%,да,93%,1,
169,тез тур официальный,10%,да,15%,-1,
170,тревел спейс,0%,нет,15%,-1,
171,99 евро туры горящие,50%,да,26%,-1,
172,мосгортур,0%,нет,17%,-1,
173,anextour официальный сайт,20%,да,36%,0,
174,купить тур травелата,30%,да,45%,0,
175,белек турция,0%,нет,29%,-1,
176,банк горящих туров москва,80%,нет,23%,-1,
177,аланья турция,0%,нет,9%,-1,
178,сиде,0%,нет,27%,-1,
179,аи с,0%,нет,0%,-1,
180,pegas,40%,да,36%,0,
181,дагестан отдых,100%,нет,29%,-1,
182,аланья,0%,нет,1%,-1,
183,туроператор корал тревел официальный сайт,10%,да,13%,-1,
184,египет туры цены 2023,60%,да,100%,1,
185,таиланд паттайя,0%,нет,0%,-1,
186,туры в оаэ,0%,нет,69%,1,
187,на кубу туры,90%,да,100%,1,
188,фетхие,0%,нет,17%,-1,
189,сан фан туроператор официальный сайт,0%,нет,29%,-1,
190,египет хургада,0%,нет,14%,-1,
191,русь туроператор экскурсионные туры,50%,да,32%,-1,
192,горящие туры в египет,10%,да,100%,1,
193,шри ланка туры,70%,да,60%,0,
194,узбекистан погода,0%,нет,36%,0,
195,пегас туристик поиск тура,50%,да,59%,0,
196,поиск туров,10%,да,54%,0,
197,туры по россии,40%,да,71%,1,
198,фансан туроператор официальный сайт,10%,да,48%,0,
199,погода гудаута,0%,нет,0%,-1,
200,горящих путевок магазин,50%,да,50%,0,
201,лоти туроператор,40%,да,14%,-1,
202,путевки в тайланд,10%,да,100%,1,
203,библиоглобус туроператор сайт,10%,да,22%,-1,
204,авиа ру,0%,нет,0%,-1,
205,anex,20%,да,44%,0,
206,каппадокия турция,0%,нет,0%,-1,
207,доступные туры,30%,да,11%,-1,
208,anextour,50%,да,57%,0,
209,абхазия отдых 2023 цены на берегу моря,20%,да,88%,1,
210,экспресс онлайн,0%,нет,32%,-1,
211,каш турция,0%,нет,9%,-1,
212,руспо,0%,нет,16%,-1,
213,фукуок вьетнам,0%,нет,8%,-1,
214,1001 тур официальный сайт,13%,да,15%,-1,
215,абхазия гагры,0%,нет,7%,-1,
216,сардиния,0%,нет,0%,-1,
217,лоти,0%,нет,7%,-1,
218,путевки,60%,да,93%,1,
219,отправкин,0%,нет,16%,-1,
220,майорка,0%,нет,10%,-1,
221,санторини греция,0%,нет,0%,-1,
222,мальдивы туры цены 2023,70%,да,99%,1,
223,sunmar туроператор,30%,да,36%,0,
224,агентство праздник,40%,да,21%,-1,
225,оаэ фуджейра,0%,нет,36%,0,
226,мертвое море израиль,0%,нет,0%,-1,
227,ларнака,10%,да,0%,-1,
228,101 отель официальный сайт,13%,да,34%,-1,
229,горячие туры,80%,да,67%,1,
230,столица арабских эмиратов,0%,нет,0%,-1,
231,кайо коко,0%,нет,15%,-1,
232,фукуок,0%,нет,2%,-1,
233,тайланд пхукет,20%,да,15%,-1,
234,москва пхукет,100%,нет,94%,1,
235,в египет из москвы туры,0%,нет,93%,1,
236,акапулько,0%,нет,14%,-1,
237,погода завтра воронеж,100%,нет,0%,-1,
238,индия гоа,0%,нет,1%,-1,
239,отдых абхазия,0%,нет,40%,0,
240,отдых в турции,0%,нет,69%,1,
241,погода в мармарисе,0%,нет,0%,-1,
242,фетхие турция,0%,нет,21%,-1,
243,в сочи туры,100%,нет,94%,1,
244,песня улетай,0%,нет,0%,-1,
245,новый год в сочи,100%,нет,30%,-1,
246,sun and fun,0%,нет,26%,-1,
247,москва анталия,100%,нет,97%,1,
248,шармаль шейх,0%,нет,0%,-1,
249,нячанг,0%,нет,5%,-1,
250,интерсити,10%,да,15%,-1,
251,туры на байкал,80%,да,79%,1,
252,цены на отдых на море,50%,да,61%,0,
253,туры в дагестан,100%,нет,68%,1,
254,из москвы в турцию туры,10%,нет,93%,1,
255,туры во вьетнам,90%,да,68%,1,
256,венесуэла маргарита остров,100%,нет,29%,-1,
257,хайнань остров,70%,нет,14%,-1,
258,абхазия сухум,0%,нет,0%,-1,
259,карта дубай,0%,нет,0%,-1,
260,амботис,0%,нет,16%,-1,
261,санмар поиск тура,20%,да,58%,0,
262,альфа банк банк партнеры,20%,да,23%,-1,
263,путевки в египет,10%,да,100%,1,
264,купить тур,30%,да,76%,1,
265,алтай отдых,100%,нет,50%,0,
266,будва,0%,нет,0%,-1,
267,дубай туры цены на 2023,60%,да,99%,1,
268,канкун,0%,нет,0%,-1,
269,мальдивские острова,80%,нет,0%,-1,
270,сан энд фан,0%,нет,29%,-1,
271,туры мальдивы,80%,да,100%,1,
272,в турцию из москвы горящие туры,10%,нет,90%,1,
273,онлайнтурс ру официальный сайт,0%,нет,15%,-1,
274,мальдивиана,0%,нет,17%,-1,
275,абхазия гудаута,0%,нет,1%,-1,
276,партнеры альфа банка,20%,да,21%,-1,
277,подбор тура,40%,да,53%,0,
278,банки партнеры банка альфа,20%,да,23%,-1,
279,варадеро погода,0%,нет,0%,-1,
280,biblioglobus туры,30%,да,44%,0,
281,солнечный берег,0%,нет,9%,-1,
282,термальный парк отель псыгупс,0%,нет,13%,-1,
283,спейс тревел туроператор,0%,нет,15%,-1,
284,карибы,0%,нет,0%,-1,
285,туры великий устюг,100%,нет,69%,1,
286,венесуэла отдых,20%,да,28%,-1,
287,анекс тур поиск тура,30%,да,43%,0,
288,туры в египет из москвы 2023,0%,нет,95%,1,
289,туры на новый год,40%,да,89%,1,
290,туры в тайланд из москвы,0%,нет,92%,1,
291,tui туроператор,20%,да,31%,-1,
292,библио,0%,нет,25%,-1,
293,магпут туроператор официальный сайт,20%,да,0%,-1,
294,туры в карелию,100%,нет,97%,1,
295,нячанг вьетнам,0%,нет,0%,-1,
296,thailand,0%,нет,2%,-1,
297,даламан турция,0%,нет,14%,-1,
298,погода в риме,0%,нет,0%,-1,
299,фансан туроператор,20%,да,49%,0,
300,египет шарм эль шейх,0%,нет,27%,-1,
301,туроператор ics,30%,да,27%,-1,
302,реестр туроператоров,0%,нет,0%,-1,
303,отдых в ноябре,0%,нет,4%,-1,
304,купить тур в турцию,10%,да,98%,1,
305,новогодние туры,40%,да,91%,1,
306,туроператор большая страна официальный сайт,0%,нет,1%,-1,
307,pegas touristik,40%,да,36%,0,
308,менеджер по туризму вакансии,90%,да,30%,-1,
309,куба туры цены,80%,да,98%,1,
310,туры в турцию из москвы 2023,20%,нет,100%,1,
311,фан сан туроператор сайт официальный сайт,10%,да,47%,0,
312,в турцию горящие путевки,10%,да,93%,1,
313,израиль эйлат,0%,нет,18%,-1,
314,измир турция,0%,нет,0%,-1,
315,амботис туроператор,30%,да,14%,-1,
316,pegast,40%,да,43%,0,
317,арт тур,20%,да,14%,-1,
318,в турцию билеты,50%,да,99%,1,
319,loti туроператор,40%,да,21%,-1,
320,где находятся мальдивы,70%,да,0%,-1,
321,выходного дня тур,80%,да,93%,1,
322,бережки холл,10%,да,27%,-1,
323,ржд тур официальный сайт,20%,да,0%,-1,
324,куба 2023 туры цены,70%,да,98%,1,
325,москва анталья,100%,нет,96%,1,
326,израиль россия,0%,нет,0%,-1,
327,корал тревел поиск тура,30%,да,39%,0,
328,столица таиланда,0%,нет,0%,-1,
329,онлайн турс ру,0%,нет,10%,-1,
330,москва белград,100%,нет,94%,1,
331,бгоператор,0%,нет,0%,-1,
332,sunmar туроператор официальный сайт,10%,да,29%,-1,
333,тур глобус,50%,да,35%,0,
334,библио официальный сайт глобус,40%,да,21%,-1,
335,space travel,0%,нет,15%,-1,
336,туры горящие в тайланд,20%,да,93%,1,
337,отдых на кубе,60%,да,52%,0,
338,туртрансвояж официальный,0%,нет,2%,-1,
339,спектрум,30%,да,56%,0,
340,fun sun туроператор официальный сайт,10%,да,44%,0,
341,горящие туры чиптрип,50%,да,29%,-1,
342,ттв,0%,нет,0%,-1,
343,отдых в египте,0%,нет,48%,0,
344,отдых в белоруссии,0%,нет,32%,-1,
345,туры дубай,70%,да,100%,1,
346,cesars temple de luxe hotel 5,0%,нет,9%,-1,
347,амботис туроператор официальный сайт,40%,да,15%,-1,
348,cesars resort side,0%,нет,11%,-1,
349,пегас тур,40%,да,36%,0,
350,туроператор русский экспресс официальный сайт,10%,да,19%,-1,
351,дахаб,0%,нет,1%,-1,
352,гудаута,0%,нет,0%,-1,
353,псыгупс,0%,нет,15%,-1,
354,пегас туроператор,40%,да,36%,0,
355,evgenkap,0%,нет,7%,-1,
356,мультитур,30%,да,29%,-1,
357,эмираты оаэ,0%,нет,2%,-1,
358,туры в стамбул,20%,да,87%,1,
359,на карте мира мальдивы,60%,да,28%,-1,
360,в египет в ноябре,0%,нет,39%,0,
361,самуи таиланд,10%,да,7%,-1,
362,адыгея отдых 2023 цены на отдых,100%,нет,74%,1,
363,пегаст,0%,нет,21%,-1,
364,в дубай путевка,40%,да,93%,1,
365,пхукет карта,0%,нет,0%,-1,
366,куба отдых,40%,да,42%,0,
367,куршевель,0%,нет,15%,-1,
368,на алтай туры,100%,нет,93%,1,
369,отдых в тайланде,10%,да,32%,-1,
370,фетхие погода,0%,нет,0%,-1,
371,дубай шарджа,0%,нет,9%,-1,
372,фестиваль парк отель,0%,нет,36%,0,
373,золотые пески,0%,нет,8%,-1,
374,экспресс онлайн туроператор,0%,нет,39%,0,
375,оаэ это,0%,нет,2%,-1,
376,alean,10%,да,15%,-1,
377,отдых на байкале,0%,нет,29%,-1,
378,корал тревел официальный сайт,10%,да,14%,-1,
379,карта тайланд,0%,нет,0%,-1,
380,туры в абхазию,0%,нет,76%,1,
381,где на карте находится мальдивы,70%,да,14%,-1,
382,москва израиль,90%,нет,71%,1,
383,истамбул,0%,нет,8%,-1,
384,остров маргарита,90%,нет,21%,-1,
385,библио глобус туроператор официальный,0%,нет,15%,-1,
386,турция в ноябре,0%,нет,17%,-1,
387,азия кредит,20%,да,54%,0,
388,купить путевку в турцию,0%,нет,94%,1,
389,вьетнам туры цены 2023,90%,да,97%,1,
390,горящие туры в египет из москвы,0%,нет,83%,1,
391,тур ру,20%,да,21%,-1,
392,шарджа город,0%,нет,12%,-1,
393,аджман,0%,нет,14%,-1,
394,шарм эш шейх,0%,нет,0%,-1,
395,коприно база отдыха рыбинск цены,20%,нет,66%,1,
396,отдых горячий ключ,100%,нет,85%,1,
397,на бали туры,70%,да,94%,1,
398,тур 24,13%,да,17%,-1,
399,турскидки ру официальный сайт,40%,да,33%,-1,
400,минеральные воды отдых,0%,нет,34%,-1,
401,погода в кемере сейчас,0%,нет,0%,-1,
402,port nature luxury,0%,нет,28%,-1,
403,отдых вьетнам,40%,да,39%,0,
404,купить тур в египет,0%,нет,89%,1,
405,горячие путевки,90%,да,100%,1,
406,сан тропе,0%,нет,7%,-1,
407,сайт тезтур ру официальный,0%,нет,22%,-1,
408,сколько билет стоит в дубай,0%,нет,95%,1,
409,туры в калининград,100%,нет,99%,1,
410,горячие туры из москвы,100%,нет,100%,1,
411,в дубае отдых,0%,нет,29%,-1,
412,туры в таиланд,0%,нет,59%,0,
413,ics,40%,да,12%,-1,
414,bgoperator,0%,нет,1%,-1,
415,туры в китай из москвы,0%,нет,85%,1,
416,банк горящих,70%,да,23%,-1,
417,cyprus,0%,нет,0%,-1,
418,краби таиланд,0%,нет,6%,-1,
419,европорт,0%,нет,11%,-1,
420,сезон в тайланде,0%,нет,1%,-1,
421,унаватуна шри ланка,10%,да,13%,-1,
422,панган,0%,нет,8%,-1,
423,агентство туристическое,50%,да,43%,0,
424,тайланд москва,100%,нет,97%,1,
425,mexico,0%,нет,0%,-1,
426,куда можно съездить отдохнуть в россии на 3 дня недорого,0%,нет,50%,0,
427,бг оператор,0%,нет,7%,-1,
428,ванд туроператор,30%,да,8%,-1,
429,амигос,20%,да,14%,-1,
430,туры в узбекистан,0%,нет,55%,0,
431,арт тур туроператор,30%,да,22%,-1,
432,сиде погода на месяц,0%,нет,0%,-1,
433,кабардино балкария отдых,0%,нет,16%,-1,
434,купить путевку,40%,да,93%,1,
435,на камчатку туры,0%,нет,63%,0,
436,где отдохнуть на выходных недорого все включено,20%,да,46%,0,
437,абхазия европа отель,0%,нет,32%,-1,
438,пегас туристик подбор,20%,да,50%,0,
439,дубай цена путевки,80%,да,100%,1,
440,руспо ру,0%,нет,16%,-1,
441,туроператор санмар официальный сайт поиск тура,10%,да,44%,0,
442,pegast ru официальный сайт,0%,нет,20%,-1,
443,6 6 сочи,100%,нет,23%,-1,
444,шри ланка москва,80%,нет,69%,1,
445,скачать queen,0%,нет,0%,-1,
446,база отдыха чусовая,0%,нет,15%,-1,
447,интурист нтк,20%,да,0%,-1,
448,орлиное гнездо горячий ключ,80%,нет,42%,0,
449,loti,0%,нет,8%,-1,
450,экспресс тур,30%,да,32%,-1,
451,унаватуна,0%,нет,0%,-1,
452,поиск тура пегас,30%,да,54%,0,
453,абхазия страна,0%,нет,5%,-1,
454,куба коко кайо,10%,да,17%,-1,
455,куба кайо коко,0%,нет,14%,-1,
456,coral ru,0%,нет,7%,-1,
457,москва самарканд,100%,нет,98%,1,
458,конаклы турция,0%,нет,11%,-1,
459,курс туроператоров,0%,нет,4%,-1,
460,funsun,0%,нет,29%,-1,
461,тайланд као лак,10%,да,8%,-1,
462,отдых с детьми,30%,да,18%,-1,
463,отели турции,0%,нет,62%,0,
464,путешествие по россии,0%,нет,18%,-1,
465,spectrum,0%,нет,28%,-1,
466,хайнань туры,70%,да,93%,1,
467,чусовая турбаза,0%,нет,7%,-1,
468,абхазия отдых 2023 цены,20%,да,58%,0,
469,туры из москвы в дубай,20%,нет,93%,1,
470,ичмелер,0%,нет,5%,-1,
471,магазин путешествий туроператор,20%,да,1%,-1,
472,biblio globus туроператор,40%,да,26%,-1,
473,отдых в китае,0%,нет,72%,1,
474,мультитур туроператор официальный сайт,30%,да,15%,-1,
475,москва турция,100%,нет,95%,1,
476,форум туртрансвояж,0%,нет,0%,-1,
477,тбс,20%,да,36%,0,
478,карелия отдых цены,100%,нет,84%,1,
479,tury,40%,да,39%,0,
480,cfy afy,10%,да,15%,-1,
481,таба египет,0%,нет,7%,-1,
482,туры из москвы,90%,нет,68%,1,
483,sun and fun туроператор,10%,да,29%,-1,
484,москва куба,80%,нет,98%,1,
485,библиоглобус тур подбор,30%,да,51%,0,
486,мираклион анапа,80%,нет,15%,-1,
487,сочи отели все включено,100%,нет,73%,1,
488,сан энд фан туроператор официальный сайт,0%,нет,36%,0,
489,в россии отдых,0%,нет,37%,0,
490,туры в оаэ 2023 из москвы с авиаперелетом,0%,нет,98%,1,
491,псб патриот,20%,да,29%,-1,
492,абхазия отдых 2023,0%,нет,39%,0,
493,анекс тур подбор,30%,да,55%,0,
494,планета тревел,20%,да,18%,-1,
495,паттайя тайланд,0%,нет,0%,-1,
496,погода тунис,0%,нет,0%,-1,
497,бага,0%,нет,0%,-1,
498,туры на гоа,70%,да,99%,1,
499,туры в казань,100%,нет,79%,1,
500,адлер санаторий южное взморье цены,0%,нет,82%,1,
501,анех тур,50%,да,63%,0,
502,москва нижний новгород тур,90%,нет,79%,1,
503,туроператор space travel,0%,нет,8%,-1,
504,череповец база отдыха сосновка,100%,нет,43%,0,
505,санпарко анапа отель,90%,нет,35%,0,
506,шри ланка из москвы туры,90%,нет,97%,1,
507,юнекс,40%,да,33%,-1,
508,за путевкой рф,0%,нет,8%,-1,
509,отдых филиппины,30%,да,20%,-1,
510,путевка ком,20%,да,14%,-1,
511,золотое кольцо россии туры 2023 цена,70%,да,57%,0,
512,domina coral bay,0%,нет,0%,-1,
513,туры в грузию,0%,нет,51%,0,
514,фан энд сан туроператор,40%,да,37%,0,
515,автобусные туры туртрансвояж,20%,да,22%,-1,
516,гоа туры цены 2023,90%,да,98%,1,
517,туры в японию,0%,нет,59%,0,
518,италия венеция,0%,нет,11%,-1,
519,раннее бронирование,70%,да,83%,1,
520,путевку в тайланд купить,0%,нет,99%,1,
521,pac group,20%,да,21%,-1,
522,италия сицилия,0%,нет,0%,-1,
523,отдых в абхазии 2023 цены на берегу моря с питанием,0%,нет,81%,1,
524,столица бангкок,0%,нет,0%,-1,
525,хиккадува,0%,нет,7%,-1,
526,ялта интурист цены,0%,нет,73%,1,
527,самуи остров,70%,нет,0%,-1,
528,шарджа оаэ,0%,нет,3%,-1,
529,анекс тур поиск тура официальный сайт,30%,да,47%,0,
530,горящие туры в оаэ,0%,нет,100%,1,
531,столица эмиратов,0%,нет,3%,-1,
532,керала,10%,да,0%,-1,
533,гавана куба,10%,да,0%,-1,
534,отдых в египте 2023 все включено цены с перелетом,0%,нет,100%,1,
535,санмар туроператор официальный,10%,да,29%,-1,
536,москва бали,90%,нет,64%,0,
537,иссык куль киргизия,0%,нет,1%,-1,
538,ruspo,0%,нет,12%,-1,
539,санаторий красная талка геленджик,90%,нет,57%,0,
540,туры в оаэ из москвы,0%,нет,88%,1,
541,горящие туры в сочи,100%,нет,98%,1,
542,tez tour туроператор,20%,да,22%,-1,
543,cuba,0%,нет,0%,-1,
544,путевки в сочи,100%,нет,96%,1,
545,туры на кипр,100%,да,78%,1,
546,поездка в дубай сколько стоит,0%,нет,47%,0,
547,новый год в турции,0%,нет,29%,-1,
548,мальдивы столица,70%,да,0%,-1,
549,99 евро туры,0%,нет,12%,-1,
550,золотое кольцо россии туры,70%,да,67%,1,
551,купить путевку в египет,0%,нет,100%,1,
552,panteon,0%,нет,15%,-1,
553,доминикана туры цены 2023,70%,да,98%,1,
554,в египте какая валюта,0%,нет,5%,-1,
555,туры из москвы на кубу,90%,нет,99%,1,
556,турция туры цены 2023,90%,да,100%,1,
557,отели все включено в подмосковье,20%,да,40%,0,
558,бали туры цены 2023,60%,да,91%,1,
559,21 год свадьбы,0%,нет,0%,-1,
560,туры в индию,0%,нет,86%,1,
561,отдых в адлере,0%,нет,51%,0,
562,хоттур,40%,да,38%,0,
563,доминикана туры,80%,да,100%,1,
564,корал тревал,20%,да,36%,0,
565,туры на пхукет,90%,да,99%,1,
566,патая,0%,нет,0%,-1,
567,шарм эль шейх экскурсии,0%,нет,50%,0,
568,мексика канкун,0%,нет,0%,-1,
569,стамбул где находится,0%,нет,0%,-1,
570,клик вояж,0%,нет,8%,-1,
571,куба туры,70%,да,99%,1,
572,бельдиби,0%,нет,11%,-1,
573,красноусольск санаторий цены на путевки 2023 с лечением,0%,нет,100%,1,
574,остров куба,60%,нет,0%,-1,
575,vietnam,0%,нет,0%,-1,
576,магазин путешествий туроператор официальный,30%,да,7%,-1,
577,санаторий янгантау цены,0%,нет,82%,1,
578,утрау казань отдых,60%,нет,35%,0,
579,самые дешевые горящие туры,90%,да,100%,1,
580,туроператор тез тур,10%,да,36%,0,
581,туры в доминикану,0%,нет,62%,0,
582,турция манавгат,0%,нет,0%,-1,
583,хургада москва,100%,нет,98%,1,
584,погода в италии,0%,нет,21%,-1,
585,uae какая страна,0%,нет,3%,-1,
586,остров кипр,80%,нет,15%,-1,
587,шри ланка хиккадува,0%,нет,6%,-1,
588,турфирма,50%,да,44%,0,
589,мир путешествий,10%,да,44%,0,
590,тур в тайланд купить,0%,нет,95%,1,
591,кушадасы турция,0%,нет,20%,-1,
592,бронирование,10%,да,65%,0,
593,боракай,0%,нет,0%,-1,
594,алекс тур,50%,да,20%,-1,
595,гранд шале алтай,60%,нет,37%,0,
596,санпарко анапа,90%,нет,50%,0,
597,маэ,0%,нет,15%,-1,
598,все туры на одном сайте от всех туроператоров,10%,да,46%,0,
599,куба отдых 2023 цены с перелетом,60%,да,99%,1,
600,selectum family resort varadero 5,0%,нет,0%,-1,
601,абхазия в ноябре,0%,нет,16%,-1,
602,цахкадзор,0%,нет,8%,-1,
603,туры в дубай горящие,0%,нет,93%,1,
604,азимут отель тула,100%,нет,43%,0,
605,фан сан туроператор официальный,0%,нет,29%,-1,
606,отдых в оаэ,0%,нет,61%,0,
607,анапа все включено,90%,нет,88%,1,
608,туры в тунис,0%,нет,72%,1,
609,san fan туроператор,0%,нет,32%,-1,
610,туры из москвы по россии,90%,нет,74%,1,
611,испания аликанте,0%,нет,20%,-1,
612,palmira garden hotel spa,40%,да,36%,0,
613,ics travel group,20%,да,7%,-1,
614,абхазия сухуми,0%,нет,6%,-1,
615,домина корал бей шарм эль шейх,10%,да,26%,-1,
616,таиланд туры цены 2023,70%,да,100%,1,
617,oz side hotel 4,0%,нет,5%,-1,
618,алеан туроператор сайт официальный сайт,0%,нет,29%,-1,
619,оаэ туры цены 2023,70%,да,98%,1,
