#,Поисковый запрос,"Локализация, %",Геозависимость,"Коммерциализация, %",Коммерция код,%коомерции 
148,андерсон,0%,нет,22%,-1,
149,пицца хот,50%,да,45%,0,
150,kfc меню,30%,да,68%,1,
151,пицца пепперони,20%,да,22%,-1,
152,филе куриное,0%,нет,18%,-1,
153,донер,50%,да,15%,-1,
154,пицца миа,10%,да,16%,-1,
155,хлеб цельнозерновой,0%,нет,29%,-1,
156,серф кофе,50%,да,15%,-1,
157,суши магия,30%,да,63%,0,
158,суши пицца,50%,да,77%,1,
159,пицца синица,0%,нет,18%,-1,
160,суши фуджи,30%,да,70%,1,
161,пицца домино,40%,да,30%,-1,
162,панда суши,0%,нет,53%,0,
163,мама пицца,0%,нет,52%,0,
164,аригато,0%,нет,15%,-1,
165,цех,30%,да,26%,-1,
166,окей доставка,60%,да,42%,0,
167,шампурико,0%,нет,21%,-1,
168,чайхона,70%,да,36%,0,
169,меню и цены вкусно и точка москва,20%,нет,91%,1,
170,кафе андерсон,60%,да,29%,-1,
171,пятерочка доставка на дом продуктов,20%,да,51%,0,
172,фокс пицца,10%,да,40%,0,
173,самара пицца рико,90%,нет,33%,-1,
174,суши лав,50%,да,42%,0,
175,заказать кфс,60%,да,92%,1,
176,суши дом,70%,да,59%,0,
177,рикко пицца,20%,да,24%,-1,
178,доставка продуктов,40%,да,100%,1,
179,москва хачапури и вино,50%,нет,30%,-1,
180,папа пицца джонс,60%,да,30%,-1,
181,рис бурый,0%,нет,22%,-1,
182,бизнес ланч,90%,да,39%,0,
183,нияма,70%,да,30%,-1,
184,екатеринбург пицца миа,70%,нет,29%,-1,
185,ебидоеби суши,40%,да,25%,-1,
186,мама япона,0%,нет,28%,-1,
187,пицца чикен брянск,70%,нет,30%,-1,
188,омск японский домик,90%,нет,46%,0,
189,краснодарский парень,20%,да,22%,-1,
190,чебупели,0%,нет,44%,0,
191,доставка еды спб,100%,нет,73%,1,
192,зотман пицца,40%,да,35%,0,
193,пицца экспресс,60%,да,37%,0,
194,сухарики,0%,нет,56%,0,
195,британские пекарни,0%,нет,26%,-1,
196,тан,0%,нет,32%,-1,
197,суши мастер тюмень,80%,нет,39%,0,
198,техникум,50%,да,36%,0,
199,нижний новгород мир пиццы,100%,нет,32%,-1,
200,доставка еды в москве,50%,нет,60%,0,
201,иль патио,60%,да,29%,-1,
202,чико рико,70%,да,15%,-1,
203,яндекс лавка интернет магазин,20%,да,46%,0,
204,заказ еды,80%,да,63%,0,
205,foodband,0%,нет,20%,-1,
206,колбасный цех,30%,да,22%,-1,
207,китайская кухня,20%,да,13%,-1,
208,суши сакура,40%,да,48%,0,
209,пицца доставка додо,60%,да,45%,0,
210,eda yandex,0%,нет,15%,-1,
211,yandex go,0%,нет,24%,-1,
212,ашан доставка,10%,да,61%,0,
213,суши бай,10%,да,30%,-1,
214,шашлычный двор,80%,да,46%,0,
215,бокс май,0%,нет,22%,-1,
216,роллы воронеж,100%,нет,83%,1,
217,заказать кфс доставку,70%,да,75%,1,
218,шашлычный дворик,70%,да,52%,0,
219,пекарня 34,0%,нет,45%,0,
220,доставка продуктов перекресток на дом москва,60%,нет,43%,0,
221,иваново автосуши,100%,нет,40%,0,
222,суши карате,0%,нет,24%,-1,
223,дед хо,0%,нет,8%,-1,
224,марчеллис,0%,нет,23%,-1,
225,фило тесто купить,40%,да,99%,1,
226,суши ива,0%,нет,36%,0,
227,старлайт,50%,да,22%,-1,
228,очаг,20%,да,26%,-1,
229,шоколадка,10%,да,68%,1,
230,вок лапша,0%,нет,52%,0,
231,колбасофф,0%,нет,8%,-1,
232,перчини,40%,да,29%,-1,
233,меню кофемания,0%,нет,44%,0,
234,честная рыба,0%,нет,23%,-1,
235,суши вани липецк дяди,80%,нет,44%,0,
236,суши сан,20%,да,33%,-1,
237,тануки доставка,60%,да,53%,0,
238,ёбидоёби красноярск,100%,нет,40%,0,
239,осетинские пироги москва с доставкой,70%,нет,99%,1,
240,от палыча торты,30%,да,85%,1,
241,санкт петербург хачапури и вино,50%,нет,38%,0,
242,люди любят,0%,нет,25%,-1,
243,пицца сити,70%,да,31%,-1,
244,глобус доставка продуктов на дом,40%,да,49%,0,
245,екатеринбург роллы,90%,нет,67%,1,
246,суши арт,40%,да,49%,0,
247,саратов донна пицца,90%,нет,38%,0,
248,пиццбург,40%,да,22%,-1,
249,доставка макдональдс,80%,да,99%,1,
250,ресторан доктор живаго,0%,нет,15%,-1,
251,вкусно и точка меню и цены,0%,нет,87%,1,
252,лента заказ онлайн,0%,нет,45%,0,
253,zotman pizza,40%,да,49%,0,
254,достаевский доставка еды,20%,да,34%,-1,
255,my box,0%,нет,24%,-1,
256,суши ива воронеж,100%,нет,39%,0,
257,she ресторан,70%,да,29%,-1,
258,доставка продуктов на дом ашан,40%,да,57%,0,
259,точка и вкусно заказать,0%,нет,78%,1,
260,шампурико екатеринбург доставка,70%,нет,49%,0,
261,яндекс приложение,0%,нет,17%,-1,
262,лапша рисовая,0%,нет,49%,0,
263,империя суши,30%,да,42%,0,
264,остерио марио,0%,нет,29%,-1,
265,буханка пекарня,50%,да,37%,0,
266,москва ресторан сахалин,70%,нет,34%,-1,
267,сушимания,40%,да,31%,-1,
268,салат чука,0%,нет,45%,0,
269,в лаваше,0%,нет,16%,-1,
270,пицца экспресс 24,60%,да,45%,0,
271,воронеж ресторан,100%,нет,37%,0,
272,евразия меню,10%,да,52%,0,
273,роллов доставка,100%,да,100%,1,
274,рокнроллы,0%,нет,25%,-1,
275,суши тануки москва доставка,80%,нет,60%,0,
276,корчма,50%,да,29%,-1,
277,пипони,70%,да,32%,-1,
278,яндекс еда москва доставка,30%,нет,48%,0,
279,пицца ронни,0%,нет,24%,-1,
280,новосибирск кфс,80%,нет,45%,0,
281,хлебник,0%,нет,10%,-1,
282,true cost,0%,нет,51%,0,
283,спринг роллы,0%,нет,8%,-1,
284,дяди вани суши,0%,нет,27%,-1,
285,корчма тарас бульба,60%,да,36%,0,
286,доставка продуктов лента на дом,30%,да,54%,0,
287,окинава казань,90%,нет,30%,-1,
288,хочу пури,0%,нет,19%,-1,
289,бисквитный двор,0%,нет,43%,0,
290,кфс красноярск,90%,нет,51%,0,
291,яндекс еда спб доставка,40%,нет,64%,0,
292,люди любят хлеб,0%,нет,15%,-1,
293,доставка симферополь еды,0%,нет,67%,1,
294,омск кфс,80%,нет,54%,0,
295,гуд суши,50%,да,46%,0,
296,магнит доставка продуктов на дом,30%,да,56%,0,
297,суши шеф,10%,да,55%,0,
298,жар пицца воронеж,60%,нет,39%,0,
299,ресторан техникум,60%,да,44%,0,
300,карлсон ресторан,70%,да,52%,0,
301,суши пятница,0%,нет,28%,-1,
302,бургер франклин,0%,нет,12%,-1,
303,стар суши,30%,да,40%,0,
304,доставка дикси,20%,да,43%,0,
305,тунец суши,40%,да,29%,-1,
306,тру кост,0%,нет,57%,0,
307,вьетнамская кухня,50%,да,0%,-1,
308,доставка еды красноярск,90%,нет,78%,1,
309,орел автосуши,0%,нет,26%,-1,
310,просуши,70%,да,37%,0,
311,саратов роллы,90%,нет,100%,1,
312,гурманика,0%,нет,24%,-1,
313,жар пицца курск,70%,нет,32%,-1,
314,и рис и рыба,0%,нет,36%,0,
315,фабрика брянск,50%,нет,30%,-1,
316,доставка екатеринбург еды,80%,нет,74%,1,
317,папа джонс новосибирск,80%,нет,37%,0,
318,люстра бар,70%,да,40%,0,
319,вкусные суши доставка спб,60%,нет,54%,0,
320,шашлык заказать с доставкой,90%,да,81%,1,
321,глобус доставка,30%,да,40%,0,
322,роллы казань,100%,нет,66%,1,
323,суши пицца вок заказать,60%,да,47%,0,
324,додо пицца заказать с доставкой спб,80%,нет,38%,0,
325,моя рыба ресторан,40%,да,30%,-1,
326,пироговый дворик на заказ с доставкой в спб,70%,нет,73%,1,
327,like coffee,0%,нет,15%,-1,
328,заказать доставку вкусно и точка,40%,да,75%,1,
329,евразия доставка спб,70%,нет,44%,0,
330,еда на заказ с доставкой,70%,да,83%,1,
331,заказать пиццу с доставкой в москве,30%,нет,100%,1,
332,рядом шаурма,0%,нет,31%,-1,
333,бараночки волгоград конфетки,70%,нет,30%,-1,
334,loona москва ресторан,60%,нет,38%,0,
335,сыроварня меню,30%,да,55%,0,
336,свш,0%,нет,15%,-1,
337,самурай суши,30%,да,40%,0,
338,торро гриль,0%,нет,22%,-1,
339,доставка продуктов на дом москва пятерочка,40%,нет,69%,1,
340,пицца ростов на дону ташир,90%,нет,39%,0,
341,клешни и хвосты,0%,нет,24%,-1,
342,старая мельница,0%,нет,21%,-1,
343,поесть,90%,да,31%,-1,
344,ресторан джонджоли,60%,да,29%,-1,
345,суши сакура доставка,60%,да,42%,0,
346,точка суши,10%,да,44%,0,
347,мука рисовая,10%,да,43%,0,
348,оригами суши,50%,да,45%,0,
349,меню крошка картошка,30%,да,40%,0,
350,суши галерея,0%,нет,31%,-1,
351,готовая еда с доставкой,80%,да,74%,1,
352,дымок,0%,нет,43%,0,
353,примус ян,0%,нет,14%,-1,
354,crazy brothers,30%,да,23%,-1,
355,пицца рикка,20%,да,59%,0,
356,km20,0%,нет,16%,-1,
357,хлеб и мясо,70%,да,52%,0,
358,казань по чесноку,90%,нет,36%,0,
359,пироги номер 1,0%,нет,42%,0,
360,пицца римская,30%,да,28%,-1,
361,радуга вкуса казань,80%,нет,28%,-1,
362,сырок,30%,да,47%,0,
363,романо салат,0%,нет,52%,0,
364,cofix,0%,нет,15%,-1,
365,москва сыто пьяно,90%,нет,31%,-1,
366,омск японский домик суши,100%,нет,47%,0,
367,медийное место,40%,да,17%,-1,
368,пицца пронто,60%,да,29%,-1,
369,насущный хлеб,60%,да,38%,0,
370,молоко миндальное,0%,нет,40%,0,
371,оригами суши красноярск,100%,нет,42%,0,
372,нижний новгород суши,100%,нет,67%,1,
373,суши оригами красноярск,100%,нет,34%,-1,
374,вкусвилл каталог,10%,да,81%,1,
375,dominos,0%,нет,15%,-1,
376,заказать шашлык,100%,да,81%,1,
377,заказать еду в москве с доставкой,40%,нет,55%,0,
378,заказать еду с доставкой в москве,20%,нет,84%,1,
379,роллы самара,90%,нет,80%,1,
380,стрипсы куриные,0%,нет,18%,-1,
381,мандарины,0%,нет,7%,-1,
382,ебисан,0%,нет,26%,-1,
383,скалка,50%,да,64%,0,
384,pizza hut,50%,да,30%,-1,
385,горячая штучка,0%,нет,43%,0,
386,такси фуд,20%,да,17%,-1,
387,чебупицца,0%,нет,53%,0,
388,фудбэнд,0%,нет,27%,-1,
389,ресторан хорошая девочка,70%,да,30%,-1,
390,оджахури уфа,70%,нет,23%,-1,
391,мангал хаус,70%,да,46%,0,
392,суши спб доставка,90%,нет,100%,1,
393,бакинский дворик,50%,да,44%,0,
394,урюк ресторан,60%,да,22%,-1,
395,дракон золотой,50%,да,38%,0,
396,роллы краснодар,100%,нет,69%,1,
397,ресторан евразия,0%,нет,17%,-1,
398,чито гврито,0%,нет,47%,0,
399,суши воронеж,100%,нет,65%,0,
400,азбука вкуса торты,40%,да,67%,1,
401,coffee stars,40%,да,23%,-1,
402,меню шашлыкофф,80%,да,69%,1,
403,сушки,40%,да,67%,1,
404,pizzasushiwok,0%,нет,28%,-1,
405,моя рыба,60%,да,43%,0,
406,заказать роллы в москве,40%,нет,100%,1,
407,суши токио,50%,да,45%,0,
408,one coffee price,0%,нет,49%,0,
409,шоколадница цены и меню,50%,да,80%,1,
410,пицца воронеж,100%,нет,81%,1,
411,джонджоли меню,0%,нет,51%,0,
412,библиотека кафе,60%,да,37%,0,
413,по чесноку ресторан,60%,да,38%,0,
414,хаус гриль,50%,да,30%,-1,
415,ресторан честная рыба,40%,да,31%,-1,
416,франк бай баста,0%,нет,16%,-1,
417,чебурекми,0%,нет,15%,-1,
418,паста пицца,40%,да,26%,-1,
419,автопицца автосуши,30%,да,30%,-1,
420,пицца миа тюмень,80%,нет,36%,0,
421,бар том ям,0%,нет,23%,-1,
422,тунец калининград суши,60%,нет,32%,-1,
423,яндекс доставка работа,10%,да,34%,-1,
424,алло пицца заказать москва,90%,нет,54%,0,
425,творог мягкий,0%,нет,70%,1,
426,блэк стар бургер,30%,да,22%,-1,
427,добрая казань столовая,90%,нет,22%,-1,
428,манеки,0%,нет,16%,-1,
429,доставка kfc,60%,да,73%,1,
430,coffee,10%,да,14%,-1,
431,ava,0%,нет,0%,-1,
432,пицца мия доставка екатеринбург заказать,80%,нет,54%,0,
433,мак меню,0%,нет,79%,1,
434,пожарка,30%,да,44%,0,
435,осетинские пироги спб с доставкой,80%,нет,100%,1,
436,осетинские пироги с доставкой спб,90%,нет,100%,1,
437,антисуши воронеж,70%,нет,39%,0,
438,лавка яндекс заказать продукты москва,20%,нет,43%,0,
439,доставка еды круглосуточная,90%,да,49%,0,
440,набережные челны рокнроллы,0%,нет,37%,0,
441,сити мангал,60%,да,30%,-1,
442,суши море,20%,да,35%,0,
443,купить клубника в шоколаде,0%,нет,100%,1,
444,москва ресторан турандот,80%,нет,29%,-1,
445,самара доски,80%,нет,44%,0,
446,чикен хаус тверь,60%,нет,30%,-1,
447,милти готовые блюда,0%,нет,42%,0,
448,доставка еды иркутск,100%,нет,77%,1,
449,цех этого города,0%,нет,13%,-1,
450,мясная лавка,60%,да,36%,0,
451,one price coffee меню,30%,да,70%,1,
452,олис,10%,да,21%,-1,
453,каталог мясницкий ряд с ценами,40%,да,100%,1,
454,оренбург роллы,80%,нет,58%,0,
455,уфа суши,80%,нет,55%,0,
456,орел квикфуд,0%,нет,52%,0,
457,суши тунец бар,50%,да,37%,0,
458,евразия доставка,0%,нет,57%,0,
459,доставка теремок,50%,да,78%,1,
460,палочки кукурузные,0%,нет,53%,0,
461,суши бенто пермь,100%,нет,39%,0,
462,торт купить,100%,да,89%,1,
463,суши мир томск,100%,нет,52%,0,
464,суши якитория доставка на дом,70%,да,57%,0,
465,меню пхали хинкали спб и цены,70%,нет,72%,1,
466,доски бар,0%,нет,22%,-1,
467,эль патио,40%,да,53%,0,
468,чио рио,0%,нет,58%,0,
469,роллы доставка екатеринбург,90%,нет,100%,1,
470,бакинский бульвар,50%,да,29%,-1,
471,омск суши маркет,90%,нет,53%,0,
472,плов проджект екатеринбург,60%,нет,22%,-1,
473,вкусно и точка меню и цены спб,20%,нет,94%,1,
474,кур крыло,0%,нет,22%,-1,
475,пермь суши мастер,90%,нет,47%,0,
476,лакомка,40%,да,29%,-1,
477,ваби саби,50%,да,29%,-1,
478,оллис,0%,нет,28%,-1,
479,суши профи,0%,нет,27%,-1,
480,осьминог саратов,100%,нет,43%,0,
481,пироги на заказ с доставкой,70%,да,100%,1,
482,плюшки подружки,0%,нет,31%,-1,
483,хачапури тетушки марико,0%,нет,27%,-1,
484,фуд мастер челябинск,80%,нет,34%,-1,
485,5642 высота,0%,нет,18%,-1,
486,калуга автосуши,60%,нет,25%,-1,
487,леопицца брянск,100%,нет,41%,0,
488,спейс суши,50%,да,38%,0,
489,купить онигири,40%,да,92%,1,
490,маг суши,40%,да,32%,-1,
491,вырезка свиная,0%,нет,27%,-1,
492,хинкалыч,0%,нет,23%,-1,
493,крейзи бразерс,0%,нет,8%,-1,
494,сушивесла,10%,да,31%,-1,
495,татмак,0%,нет,23%,-1,
496,суши wok,50%,да,24%,-1,
497,стрит фуд,50%,да,15%,-1,
498,суши весла краснодар,40%,нет,30%,-1,
499,ферма бенуа,0%,нет,15%,-1,
500,пермь чикен доставка,90%,нет,61%,0,
501,кофикс меню,60%,да,64%,0,
502,москва ресторан she,60%,нет,38%,0,
503,британские пекарни санкт петербург,80%,нет,29%,-1,
504,метро доставка,20%,да,71%,1,
505,ашан каталог товаров и цены ростов на дону,60%,нет,97%,1,
506,мясо рыба,70%,да,36%,0,
507,ресторан selfie,30%,да,15%,-1,
508,казань хочу и буду,70%,нет,42%,0,
509,аист ресторан,70%,да,44%,0,
510,квикфуд орел,0%,нет,47%,0,
511,сайт кфс,10%,да,16%,-1,
512,ресторан бакинский бульвар,70%,да,38%,0,
513,грузинские каникулы,0%,нет,16%,-1,
514,пицца ес пенза,70%,нет,31%,-1,
515,шаурма доставка,80%,да,71%,1,
516,меню моремания и цены москва,40%,нет,66%,1,
517,пицца рио,70%,да,47%,0,
518,экомаркет интернет магазин,30%,да,26%,-1,
519,пиццы заказ,80%,да,100%,1,
520,уголек ресторан,60%,да,23%,-1,
521,ресторан мимино,100%,да,50%,0,
522,творожная масса,0%,нет,39%,0,
523,so far kebab,0%,нет,25%,-1,
524,купить креветки,40%,да,99%,1,
525,шашлычок,50%,да,38%,0,
526,пицца джойс,0%,нет,51%,0,
527,8956 доставка спб,44%,нет,40%,0,
528,ями,0%,нет,20%,-1,
529,пятерочка доставка продуктов,20%,да,51%,0,
530,суши рыба важная,0%,нет,24%,-1,
531,суши бар,100%,да,57%,0,
532,тори рамен краснодар,80%,нет,61%,0,
533,рамен краснодар тори,70%,нет,52%,0,
534,макдак,20%,да,14%,-1,
535,мясо рыба ресторан,70%,да,36%,0,
536,фуд гуд,30%,да,47%,0,
537,ерш ресторан,80%,да,30%,-1,
538,пицца рязань ташир,90%,нет,46%,0,
539,донер кебаб,40%,да,15%,-1,
540,барнаул ашан каталог,70%,нет,99%,1,
541,яндекс поддержка еда,0%,нет,14%,-1,
542,меню мама рома,0%,нет,40%,0,
543,ресторан тарас бульба,70%,да,29%,-1,
544,ростикс доставка,80%,да,52%,0,
545,heroes burger,0%,нет,36%,0,
546,эрвин ресторан,30%,да,20%,-1,
547,rostics,0%,нет,23%,-1,
548,вино и хачапури нижний новгород,70%,нет,38%,0,
549,роллы рязань,90%,нет,69%,1,
550,френдс,40%,да,22%,-1,
551,вкусно и точка нижний новгород,10%,нет,22%,-1,
552,роллы окинава казань,90%,нет,45%,0,
553,курск пицца,100%,нет,70%,1,
554,брусника кафе,50%,да,38%,0,
555,готовая еда,80%,да,67%,1,
556,заказ суши,100%,да,100%,1,
557,япона мама екатеринбург,90%,нет,44%,0,
558,яндекс лавка спб,60%,нет,40%,0,
559,чихо,0%,нет,27%,-1,
560,хлопья,0%,нет,57%,0,
561,рустерс волгоград,100%,нет,39%,0,
562,поль бейкери,0%,нет,17%,-1,
563,казбек ресторан,40%,да,29%,-1,
564,омск кантанелло,90%,нет,52%,0,
565,ресторан батлер,60%,да,36%,0,
566,доставка много лосося,0%,нет,33%,-1,
567,пекарня 34 волгоград заказать,60%,нет,56%,0,
568,клюква купить,50%,да,99%,1,
569,доски воронеж,100%,нет,51%,0,
570,доставка продуктов окей,50%,да,50%,0,
571,рикко пицца в самаре,80%,нет,33%,-1,
572,китайская еда,10%,да,7%,-1,
573,сыр творожный купить,20%,да,99%,1,
574,ресторан гуси лебеди,60%,да,22%,-1,
575,тыква купить,70%,да,99%,1,
576,pizza hot,60%,да,44%,0,
577,ресторан кавказская пленница,50%,да,29%,-1,
578,краснодар доставка еды,100%,нет,78%,1,
579,пицца итальяно,60%,да,50%,0,
580,меню сабвей,40%,да,61%,0,
581,доставка на дом продуктов,50%,да,100%,1,
582,персонажи волгоград,90%,нет,45%,0,
583,план б нижний новгород,90%,нет,30%,-1,
584,просуши краснодар,100%,нет,39%,0,
585,донер папа,0%,нет,39%,0,
586,bbq beer,0%,нет,16%,-1,
587,мяснов интернет магазин доставка на дом,50%,да,56%,0,
588,ресторан гвидон,50%,да,31%,-1,
589,сакура доставка,50%,да,41%,0,
590,мистер картошка,0%,нет,34%,-1,
591,345 ресторан,67%,да,30%,-1,
592,на парах,0%,нет,8%,-1,
593,ресторан айна,50%,да,23%,-1,
594,чебоксары тейк ит изи,90%,нет,31%,-1,
595,ача ача,0%,нет,40%,0,
596,остерия марио,0%,нет,31%,-1,
597,картофель купить,40%,да,99%,1,
598,доставка два берега спб,40%,нет,44%,0,
599,шашлык доставка,100%,да,68%,1,
600,сити суши,60%,да,38%,0,
601,доставка кубик ставрополь,80%,нет,48%,0,
602,ставрополь панда маркет,90%,нет,38%,0,
603,papa john s,40%,да,23%,-1,
604,сушиман,0%,нет,43%,0,
605,торт москва на заказ,100%,нет,86%,1,
606,вода еда,0%,нет,15%,-1,
607,cinnabon,30%,да,15%,-1,
608,тольятти роллы,70%,нет,82%,1,
609,суши москва доставка,100%,нет,81%,1,
610,шари вари орел,0%,нет,23%,-1,
611,екатеринбург бургер кинг,80%,нет,59%,0,
612,ресторан кристалл,60%,да,52%,0,
613,pho,0%,нет,0%,-1,
614,доставка вкусно и точка спб,60%,нет,67%,1,
615,суши ролик,20%,да,32%,-1,
616,меню иль патио,60%,да,61%,0,
617,5642 высота ресторан,60%,да,30%,-1,
618,оренбург много мяса,90%,нет,37%,0,
619,рокет ролл,0%,нет,15%,-1,
620,эпик пицца,0%,нет,26%,-1,
621,пироги на заказ,80%,да,93%,1,
622,спб вкусные суши,60%,нет,48%,0,
623,вилка бар чебоксары,80%,нет,40%,0,
624,смоленск суши,80%,нет,76%,1,
625,пицца нижний новгород,90%,нет,73%,1,
626,пиццамен,0%,нет,15%,-1,
627,екатеринбург вкусно и точка,60%,нет,29%,-1,
628,ресторан модус,60%,да,37%,0,
629,2 берега доставка санкт петербург,40%,нет,45%,0,
630,кофе правда,70%,да,44%,0,
631,додо доставка,0%,нет,46%,0,
632,доставка ижевск еды,100%,нет,74%,1,
633,аригатор краснодар,70%,нет,34%,-1,
634,заказать с доставкой еду,80%,да,68%,1,
635,заказать еду с доставкой,70%,да,73%,1,
636,wok,0%,нет,49%,0,
637,екатеринбург старик хинкалыч,90%,нет,37%,0,
638,роллы москва,100%,нет,72%,1,
639,азбука вкуса доставка,30%,да,77%,1,
640,sempre,40%,да,15%,-1,
641,хаус шашлык,60%,да,40%,0,
