#,Поисковый запрос,"Локализация, %",Геозависимость,"Коммерциализация, %",Коммерция код,%коомерции 
135,димитровград лекон,80%,нет,51%,0,
136,продокторов тюмень,70%,нет,51%,0,
137,3 поликлиника орел,0%,нет,2%,-1,
138,нижний новгород больница 13,78%,нет,42%,0,
139,25 поликлиника,83%,да,28%,-1,
140,афродита петрозаводск,100%,нет,57%,0,
141,стоматология белгород,100%,нет,66%,1,
142,детская поликлиника 2 орел,0%,нет,0%,-1,
143,новая медицина покров,90%,нет,43%,0,
144,тверь клиника луч,50%,нет,36%,0,
145,марии поповой клиника ставрополь,80%,нет,0%,-1,
146,стоматология тула,90%,нет,59%,0,
147,сибирское здоровье ноябрьск,80%,нет,44%,0,
148,казань продокторов,60%,нет,35%,0,
149,мытищи андреевские больницы,80%,нет,56%,0,
150,волгоград мрт,100%,нет,64%,0,
151,стоматология киров,100%,нет,66%,1,
152,эксперт тула,90%,нет,44%,0,
153,спб дерматолог,100%,нет,61%,0,
154,100 поликлиника,88%,да,0%,-1,
155,семья и здоровье,0%,нет,2%,-1,
156,л мед новомосковск,80%,нет,51%,0,
157,тверь стоматология,100%,нет,78%,1,
158,поликлиника подольск 1,80%,нет,57%,0,
159,бойко клиника волгоград,80%,нет,61%,0,
160,уссурийск джордж,60%,нет,43%,0,
161,хирург врач,50%,да,29%,-1,
162,спб гинеколог,90%,нет,50%,0,
163,уфа стоматология,90%,нет,59%,0,
164,смоленск центр надежда медицинский,80%,нет,50%,0,
165,роддом 3,60%,да,21%,-1,
166,ргс мед сыктывкар,70%,нет,46%,0,
167,нижний новгород продокторов,60%,нет,35%,0,
168,самара про докторов,80%,нет,43%,0,
169,преамбула бутово,40%,да,46%,0,
170,краснодар клиника фомина,60%,нет,40%,0,
171,шахты кардио плюс,0%,нет,13%,-1,
172,классика клиника оренбург,90%,нет,49%,0,
173,лайт пермь клиника,80%,нет,33%,-1,
174,больница 62 онкологическая,50%,да,0%,-1,
175,гастроэнтеролог спб,100%,нет,67%,1,
176,нягань детская поликлиника,80%,нет,35%,0,
177,мрт в екатеринбурге,100%,нет,73%,1,
178,стоматология курск,90%,нет,67%,1,
179,31 гкб,60%,да,0%,-1,
180,эндокринолог детский,90%,да,91%,1,
181,хирург детский,80%,да,77%,1,
182,про докторов ростов на дону,70%,нет,43%,0,
183,трихолог спб,100%,нет,71%,1,
184,96 поликлиника,80%,да,53%,0,
185,краснодар мрт,100%,нет,59%,0,
186,вся медицина челябинск новороссийская,80%,нет,51%,0,
187,17 поликлиника хабаровск,88%,нет,43%,0,
188,волгоград диалайн красноармейский,100%,нет,56%,0,
189,краснодар гинеколог,100%,нет,77%,1,
190,сайт про докторов москва официальный,30%,нет,7%,-1,
191,40 поликлиника,88%,да,0%,-1,
192,стоматология оренбург,90%,нет,66%,1,
193,центр эко,40%,да,33%,-1,
194,стоматология ростов на дону,100%,нет,66%,1,
195,телефон регистратуры онкологической поликлиники,80%,да,0%,-1,
196,мрт уфа,90%,нет,69%,1,
197,стоматология саратов,90%,нет,59%,0,
198,мрт казань,100%,нет,82%,1,
199,клиника фомина на мичуринском,100%,да,73%,1,
200,евромедика,40%,да,26%,-1,
201,продокторов самара,80%,нет,43%,0,
202,открытая клиника на ул 1905,90%,да,60%,0,
203,поликлиника 11 рязань,100%,нет,56%,0,
204,суворова медиклиник пенза,80%,нет,48%,0,
205,тюмень про докторов,90%,нет,75%,1,
206,15 поликлиника самара,70%,нет,0%,-1,
207,красноярск продокторов,80%,нет,50%,0,
208,евромед детский омск,80%,нет,29%,-1,
209,мята клиника севастополь,0%,нет,27%,-1,
210,поликлиника 48,63%,да,0%,-1,
211,краснодар уро про,60%,нет,62%,0,
212,стоматология пенза,100%,нет,70%,1,
213,семья медицинский центр таганрог,80%,нет,44%,0,
214,нефролог врач,50%,да,28%,-1,
215,про докторов белгород,90%,нет,50%,0,
216,поликлиника 6 ставрополь,89%,нет,61%,0,
217,саранск медиз,80%,нет,0%,-1,
218,гинеколог екатеринбург,80%,нет,44%,0,
219,казань дерматолог,100%,нет,58%,0,
220,2 поликлиника рязань,70%,нет,44%,0,
221,ростов на дону дворец здоровья,90%,нет,73%,1,
222,казань гинеколог,100%,нет,80%,1,
223,30 поликлиника,63%,да,0%,-1,
224,стоматология новосибирск,90%,нет,74%,1,
225,дзержинская црб,100%,нет,64%,0,
226,мурманск стоматология,100%,нет,57%,0,
227,основа клиника,50%,да,52%,0,
228,первая семейная клиника на коломяжском,0%,нет,37%,0,
229,воронеж мрт,100%,нет,81%,1,
230,симферополь стоматология,0%,нет,20%,-1,
231,продокторов спб,50%,нет,35%,0,
232,продокторов екатеринбург,70%,нет,43%,0,
233,невролог спб,100%,нет,58%,0,
234,про докторов нижний новгород,70%,нет,36%,0,
235,волгоград клиника idm,70%,нет,43%,0,
236,стоматология калуга,100%,нет,66%,1,
237,кубинка одинмед,90%,нет,61%,0,
238,филатовская тюмень клиника,50%,нет,30%,-1,
239,prodoctorov,0%,нет,0%,-1,
240,москва госпиталь бурденко,60%,нет,0%,-1,
241,череповец стоматология,100%,нет,66%,1,
242,стоматология брянск,90%,нет,59%,0,
243,мрт красноярск,100%,нет,60%,0,
244,адлер медицинский центр даниэль,0%,нет,24%,-1,
245,красноярск про докторов,90%,нет,57%,0,
246,нижний новгород 39 больница,70%,нет,52%,0,
247,стоматология иваново,100%,нет,66%,1,
248,нижний новгород невролог,100%,нет,57%,0,
249,продокторов ставрополь,60%,нет,34%,-1,
250,уфа продокторов,80%,нет,43%,0,
251,гастроэнтеролог казань,100%,нет,58%,0,
252,комаров сергей владимирович,0%,нет,0%,-1,
253,пермь продокторов,70%,нет,42%,0,
254,пенза клиника сити,80%,нет,43%,0,
255,детский педиатр,90%,да,57%,0,
256,воронеж гинеколог,100%,нет,61%,0,
257,ева клиник магадан,100%,нет,42%,0,
258,7 роддом нижний новгород,100%,нет,0%,-1,
259,краснодар роддом 5,80%,нет,35%,0,
260,про докторов липецк,100%,нет,57%,0,
261,рефлексотерапевт,80%,да,58%,0,
262,люкс рязань медицинский центр,80%,нет,44%,0,
263,8 роддом,60%,да,0%,-1,
264,про докторов официальный сайт новосибирск,60%,нет,36%,0,
265,продокторов волгоград,80%,нет,49%,0,
266,женская 3 консультация,20%,да,18%,-1,
267,стоматология обнинск,90%,нет,59%,0,
268,акушер москва,80%,нет,62%,0,
269,117 поликлиника,89%,да,0%,-1,
270,клиника друзья волгоград,90%,нет,42%,0,
271,липецк продокторов,90%,нет,49%,0,
272,москва проктолог,100%,нет,75%,1,
273,ставрополь диагностический центр западный обход,80%,нет,49%,0,
274,22 больница уфа,80%,нет,0%,-1,
275,аборт цена,80%,да,100%,1,
276,мртшка волжский,60%,нет,35%,0,
277,рязань кожвендиспансер,60%,нет,56%,0,
278,психолог новосибирск,100%,нет,76%,1,
279,семейная клиника подольск,100%,нет,57%,0,
280,клиника беби бум во владимире,50%,нет,37%,0,
281,новосибирск дерматолог,100%,нет,57%,0,
282,невролог казань,100%,нет,66%,1,
283,мрт ростов на дону,90%,нет,58%,0,
284,дербент здоровье,80%,нет,50%,0,
285,орск медикана,80%,нет,50%,0,
286,поликлиника 1 ставрополь,80%,нет,49%,0,
287,владимир клиника нева,70%,нет,42%,0,
288,тамбов 4 поликлиника,90%,нет,49%,0,
289,челябинск мрт,90%,нет,82%,1,
290,новосибирск гинеколог,100%,нет,63%,0,
291,белармед домодедово,90%,нет,64%,0,
292,газмедцентр саратов заводской район,80%,нет,58%,0,
293,казань про докторов,80%,нет,43%,0,
294,мед спейс,30%,да,34%,-1,
295,нейрохирург москва,90%,нет,70%,1,
296,ставрополь стоматология,80%,нет,43%,0,
297,краснодар больница краевая,60%,нет,0%,-1,
298,роддом 6,60%,да,0%,-1,
299,детская поликлиника новочебоксарск,70%,нет,69%,1,
300,продокторов владимир,70%,нет,35%,0,
301,мрт рязань,100%,нет,64%,0,
302,рязань кремлевская стоматология,80%,нет,66%,1,
303,клиника сити ставрополь,70%,нет,58%,0,
304,33 больница,63%,да,28%,-1,
305,кардиолог москва,90%,нет,53%,0,
306,омск про докторов,80%,нет,49%,0,
307,детская поликлиника 14,100%,да,0%,-1,
308,гастроэнтеролог краснодар,100%,нет,64%,0,
309,платная поликлиника пятигорск,100%,нет,64%,0,
310,нижний новгород гинеколог,100%,нет,88%,1,
311,пульс гулькевичи,80%,нет,50%,0,
312,ставрополь про докторов,80%,нет,49%,0,
313,клиника восстановительной медицины тверь,80%,нет,53%,0,
314,екатеринбург дерматолог,100%,нет,57%,0,
315,псков стоматология,100%,нет,66%,1,
316,больница в москве моники,50%,нет,30%,-1,
317,психотерапевт екатеринбург,100%,нет,85%,1,
318,профи клиник,60%,да,39%,0,
319,13 поликлиника детская,90%,да,0%,-1,
320,стоматология ижевск центральная,50%,нет,45%,0,
321,саратов 3 советская больница,70%,нет,52%,0,
322,краснодар детская поликлиника 1,80%,нет,49%,0,
323,доктор шишонин отзывы пациентов честные,0%,нет,6%,-1,
324,семейная клиника брянск бежицкий,90%,нет,64%,0,
325,нижний новгород дерматолог,100%,нет,57%,0,
326,медицина 31 белгород,80%,нет,28%,-1,
327,продокторов рязань,80%,нет,42%,0,
328,7 поликлиника иваново,100%,нет,57%,0,
329,стоматология белгород детская,100%,нет,47%,0,
330,нальчик медиум,50%,нет,35%,0,
331,дом здоровья великий новгород,80%,нет,55%,0,
332,2 поликлиника петрозаводск,50%,нет,50%,0,
333,про докторов рязань,90%,нет,42%,0,
334,про докторов екатеринбург,70%,нет,36%,0,
335,екатеринбург гастроэнтеролог,100%,нет,57%,0,
336,совенок клиника саратов,80%,нет,49%,0,
337,продокторов иркутск,90%,нет,49%,0,
338,медцентр альфа анапа,90%,нет,50%,0,
339,про докторов москва,40%,нет,22%,-1,
340,детская стоматология йошкар ола,100%,нет,62%,0,
341,белгород полимедика,80%,нет,42%,0,
342,ростов на дону окдц,90%,нет,59%,0,
343,ржд стоматология,50%,да,38%,0,
344,тюмень мрт,100%,нет,76%,1,
345,невролог екатеринбург,100%,нет,58%,0,
346,психолог казань,100%,нет,80%,1,
347,череповец медицинский центр надежда,90%,нет,68%,1,
348,детская поликлиника 22,75%,да,51%,0,
349,невролог краснодар,100%,нет,76%,1,
350,гастроэнтеролог нижний новгород,100%,нет,57%,0,
351,городец медюнион,80%,нет,57%,0,
352,7 поликлиника детская курск,80%,нет,0%,-1,
353,поликлиника 83,60%,да,0%,-1,
354,продокторов москва,40%,нет,7%,-1,
355,саранск клиника ким,80%,нет,50%,0,
356,мрт брянск,100%,нет,79%,1,
357,чайковский эликсир,20%,да,34%,-1,
358,4 роддом краснодар,90%,нет,0%,-1,
359,мрт вологда,100%,нет,82%,1,
360,продокторов челябинск,70%,нет,50%,0,
361,больница 68,50%,да,28%,-1,
362,пенза продокторов,70%,нет,35%,0,
363,рязань 4 поликлиника,70%,нет,42%,0,
364,клиника шаталова елец,40%,нет,40%,0,
365,новороссийск стоматология,100%,нет,66%,1,
366,100 мед,10%,да,15%,-1,
367,мытищинская клиническая городская больница,30%,да,16%,-1,
368,диагностический центр михайловск,70%,нет,35%,0,
369,волгоград областная больница,70%,нет,42%,0,
370,про докторов иркутск,100%,нет,50%,0,
371,новороссийск новомед дети,60%,нет,23%,-1,
372,платные услуги мкдц казань,70%,нет,99%,1,
373,гинеколог ростов на дону,100%,нет,64%,0,
374,будь здоров клиника на лиговском,0%,нет,19%,-1,
375,3 поликлиника регистратура детская,60%,да,37%,0,
376,центр фарватер психотерапевтический,30%,да,14%,-1,
377,анестезиолог реаниматолог,30%,да,22%,-1,
378,медика новокузнецк,70%,нет,74%,1,
379,областная больница 2 ростов на дону,56%,нет,0%,-1,
380,стоматология смоленск,100%,нет,66%,1,
381,киров альба,100%,нет,59%,0,
382,30 поликлиника волгоград,80%,нет,49%,0,
383,мрт чебоксары,100%,нет,75%,1,
384,стоматология во владимире,100%,нет,73%,1,
385,гинеколог челябинск,90%,нет,57%,0,
386,мать и дитя иркутск,60%,нет,35%,0,
387,клиника нева киров,90%,нет,43%,0,
388,стоматология королев,0%,нет,49%,0,
389,продокторов кемерово,90%,нет,56%,0,
390,4 роддом москва,90%,нет,0%,-1,
391,врач реабилитолог,80%,да,80%,1,
392,кемерово стоматология,90%,нет,59%,0,
393,поликлиника новочеркасск детская,100%,нет,68%,1,
394,киров клиника наедине,90%,нет,28%,-1,
395,дерматолог онколог,60%,да,53%,0,
396,братск медграфт,90%,нет,49%,0,
397,продокторов саратов,80%,нет,43%,0,
398,невролог москва детский,90%,нет,68%,1,
399,33 поликлиника,86%,да,52%,0,
400,поликлиника 41,89%,да,49%,0,
401,фрязино аллоро,70%,нет,69%,1,
402,про докторов пермь,80%,нет,50%,0,
403,рефлекс балашиха,100%,нет,66%,1,
404,детская поликлиника фрязино,100%,нет,0%,-1,
405,чайковский эликсир д,0%,нет,21%,-1,
406,михайловск центр здоровья,80%,нет,54%,0,
407,юдино реабилитационный центр,10%,да,0%,-1,
408,диагностический центр в иркутске на байкальской услуги и цены,70%,нет,89%,1,
409,иркутск ивано матренинская детская больница,60%,нет,0%,-1,
410,реутов моя семья клиника,90%,нет,67%,1,
411,осадчий виктор вадимович,0%,нет,21%,-1,
412,химки стоматология,100%,нет,81%,1,
413,красноярск гинеколог,90%,нет,70%,1,
414,врач спортивный,70%,да,59%,0,
415,лор нии санкт петербург,50%,нет,43%,0,
416,спб психиатр,100%,нет,76%,1,
417,мед гарант в железнодорожном,60%,нет,30%,-1,
418,медицинский центр мира,70%,да,36%,0,
419,остеопат казань,100%,нет,65%,0,
420,11 поликлиника воронеж,80%,нет,42%,0,
421,казань психотерапевт,100%,нет,73%,1,
422,45 поликлиника детская,78%,да,0%,-1,
423,гастроэнтеролог воронеж,100%,нет,94%,1,
424,врач хирург стоматолог,80%,да,50%,0,
425,владикавказ мама плюс,80%,нет,51%,0,
426,нуриевых клиника ижевск,60%,нет,30%,-1,
427,семья калуга клиника,70%,нет,0%,-1,
428,поликлиника 87,75%,да,49%,0,
429,краснодар скорая помощь,90%,нет,59%,0,
430,одинцово медикал он групп,90%,нет,52%,0,
431,областная больница детская брянск,80%,нет,56%,0,
432,уфа гинеколог,100%,нет,82%,1,
433,белгород детская областная больница,80%,нет,42%,0,
434,омск продокторов,80%,нет,42%,0,
435,ивастрамед иваново,70%,нет,73%,1,
436,поликлиника ивантеевка детская,90%,нет,64%,0,
437,спб офтальмолог,100%,нет,61%,0,
438,эндокринолог казань,100%,нет,66%,1,
439,киров стоматология лайт,90%,нет,69%,1,
440,новое девяткино поликлиника,0%,нет,4%,-1,
441,поликлиника волгодонск 3,70%,нет,35%,0,
442,волжский стоматология,90%,нет,59%,0,
443,пушкино врачеватель,100%,нет,65%,0,
444,волгоград про докторов,90%,нет,64%,0,
445,кожвендиспансер курск,80%,нет,0%,-1,
446,психолог уфа,100%,нет,77%,1,
447,анапа стоматология,100%,нет,70%,1,
448,7 больница казань,80%,нет,29%,-1,
449,нии педиатрии,60%,да,35%,0,
450,клиника европа иваново,80%,нет,36%,0,
451,курск аквила,60%,нет,32%,-1,
452,больница святого владимира детская,100%,нет,0%,-1,
453,семашко нижний новгород,60%,нет,42%,0,
454,вита медицинский центр,70%,да,67%,1,
455,1 поликлиника хабаровск детская,88%,нет,0%,-1,
456,областная больница платные услуги,10%,да,86%,1,
457,онкодиспансер рязань,60%,нет,35%,0,
458,смарт клиника,50%,да,28%,-1,
459,мрт белгород,90%,нет,82%,1,
460,саратов роддом 4,80%,нет,35%,0,
461,центр абакан диагностический,100%,нет,42%,0,
462,москва бурденко,50%,нет,0%,-1,
463,пермь профессорская клиника,80%,нет,58%,0,
464,вологда семейная клиника на некрасова,100%,нет,67%,1,
465,новая медицина павловский посад,90%,нет,57%,0,
466,эндокринолог спб,100%,нет,66%,1,
467,про врачей,0%,нет,0%,-1,
468,про докторов кемерово,90%,нет,49%,0,
469,гинеколог саратов,100%,нет,77%,1,
470,таганрог стоматология,100%,нет,77%,1,
471,воронеж невролог,100%,нет,74%,1,
472,эндокринолог краснодар,100%,нет,72%,1,
473,7 гкб,60%,да,29%,-1,
474,поликлиника межвузовская краснодар,90%,нет,56%,0,
475,больница 71,40%,да,0%,-1,
476,гинеколог самара,100%,нет,72%,1,
477,стоматология нижнекамск,100%,нет,59%,0,
478,продокторов ру новосибирск,50%,нет,28%,-1,
479,краснодар про докторов официальный сайт,90%,нет,35%,0,
480,уролог воронеж,90%,нет,60%,0,
481,всеволожск династия,90%,нет,68%,1,
482,центродент калининград,80%,нет,63%,0,
483,днк лаборатория кострома,70%,нет,65%,0,
484,стоматолог гигиенист,20%,да,14%,-1,
485,поликлиника 2 волжский детская,90%,нет,0%,-1,
486,ккб 1 в краснодаре,40%,нет,12%,-1,
487,невролог уфа,100%,нет,58%,0,
488,невролог белгород,100%,нет,75%,1,
489,невролог самара,100%,нет,58%,0,
490,невролог новосибирск,100%,нет,56%,0,
491,астродент ростов на дону,80%,нет,50%,0,
492,мрт стерлитамак,90%,нет,59%,0,
493,улан удэ ритм,80%,нет,42%,0,
494,диамед кинель,50%,нет,44%,0,
495,краснодар детский невролог,100%,нет,73%,1,
496,российский научный центр хирургии им академика б в петровского,0%,нет,4%,-1,
497,газмедцентр саратов,60%,нет,54%,0,
498,мрт во владимире,100%,нет,75%,1,
499,воронеж психотерапевт,100%,нет,77%,1,
500,психолог волгоград,100%,нет,80%,1,
501,врач диетолог,80%,да,53%,0,
502,воронеж проктолог,100%,нет,64%,0,
503,липецк детская стоматология,80%,нет,63%,0,
504,забота и здоровье череповец,80%,нет,57%,0,
505,про докторов сургут,100%,нет,49%,0,
506,психолог самара,100%,нет,88%,1,
507,анисия октябрьский башкортостан,80%,нет,57%,0,
508,поликлиника 97 выборгского района,0%,нет,12%,-1,
509,экомед городец,70%,нет,50%,0,
510,детская стоматология поликлиника,60%,да,35%,0,
511,тамбов поликлиника 3,86%,нет,37%,0,
512,2 поликлиника регистратура детская,80%,да,0%,-1,
513,пэт кт отзывы пациентов,40%,да,0%,-1,
514,про докторов курск,80%,нет,42%,0,
515,врач репродуктолог,90%,да,96%,1,
516,гинеколог пенза,100%,нет,92%,1,
517,стоматология краснодар народная,80%,нет,42%,0,
518,ростов на дону бсмп 2,90%,нет,42%,0,
519,краснодар 17 поликлиника,60%,нет,35%,0,
520,кстово тонус кроха,80%,нет,62%,0,
521,невролог рязань,100%,нет,58%,0,
522,стоматология великий новгород,100%,нет,80%,1,
523,воронеж дерматолог,80%,нет,69%,1,
524,саратов про докторов,80%,нет,43%,0,
525,волгоград гинеколог,100%,нет,77%,1,
526,геленджик стоматология,100%,нет,70%,1,
527,клиника эксперт новосибирск,90%,нет,42%,0,
528,самара дерматолог,100%,нет,58%,0,
529,дубна медсити,50%,да,39%,0,
530,физиотерапевт врач,70%,да,50%,0,
531,волжский благомед,80%,нет,56%,0,
532,челябинская областная клиническая больница,60%,да,0%,-1,
533,альфа стоматология рязань,80%,нет,53%,0,
534,челябинск психотерапевт,90%,нет,70%,1,
535,севастополь аванта,0%,нет,36%,0,
536,стоматология нижний тагил,100%,нет,80%,1,
537,военный госпиталь ростов,80%,нет,49%,0,
538,детская стоматология уфа,90%,нет,63%,0,
539,белгород гинеколог,100%,нет,88%,1,
540,чехов стоматология,90%,нет,70%,1,
541,стоматология нефтекамск,100%,нет,69%,1,
542,сайт про докторов ростов на дону официальный,70%,нет,36%,0,
543,продокторов москва сайт официальный сайт,40%,нет,14%,-1,
544,клиника корл казань,70%,нет,0%,-1,
545,медпрестиж,0%,нет,12%,-1,
546,невролог красноярск,100%,нет,65%,0,
547,рязань женская консультация 1,100%,нет,51%,0,
548,санкт петербург стоматолог,90%,нет,56%,0,
549,продокторов тула,70%,нет,42%,0,
550,стоматология старый оскол,100%,нет,80%,1,
551,14 поликлиника барнаул,80%,нет,42%,0,
552,екатеринбург преображенская клиника,90%,нет,50%,0,
553,лайт неболейка киров,90%,нет,57%,0,
554,стоматология улан удэ,90%,нет,59%,0,
555,7 поликлиника иваново детская,60%,нет,49%,0,
556,танмед саратов,80%,нет,50%,0,
557,поликлиника 106,89%,да,64%,0,
558,детская поликлиника 16,89%,да,0%,-1,
559,пэт технолоджи в балашихе,90%,нет,57%,0,
560,20 детская поликлиника,90%,да,0%,-1,
561,медицинский центр пульс елец,50%,нет,37%,0,
562,50 поликлиника,75%,да,0%,-1,
563,больница давыдовского,60%,да,35%,0,
564,иммунолог врач,70%,да,44%,0,
565,маммолог казань,100%,нет,58%,0,
566,про докторов ярославль,90%,нет,43%,0,
567,челябинск гастроэнтеролог,90%,нет,59%,0,
568,нижний новгород уролог,100%,нет,57%,0,
569,кардио плюс новочеркасск,90%,нет,50%,0,
570,рязань кардиодиспансер,80%,нет,59%,0,
571,красноярск гастроэнтеролог,100%,нет,63%,0,
572,мама клиника,50%,да,35%,0,
573,краснодар уролог,100%,нет,94%,1,
574,ростов на дону поликлиника 20,100%,нет,38%,0,
575,поликлиника 56,63%,да,39%,0,
576,76 поликлиника,100%,да,55%,0,
577,панацея волгоград красноармейский,90%,нет,49%,0,
578,1 детская поликлиника ростов на дону,70%,нет,0%,-1,
579,психотерапевт нижний новгород,100%,нет,73%,1,
580,новосибирск психотерапевт,100%,нет,69%,1,
581,петрозаводск клиника пара,70%,нет,50%,0,
